regime,trend,volume,horizon,n,avg_ret,median_ret,win_rate,avg_winner,avg_loser,payoff_ratio,max_dd,sharpe,sortino,calmar,var_95,cvar_95,worst_trade,best_trade
Strong_Bull,20-40,Flat,90,368,3.52,0.67,52.4,17.88,-12.31,1.45,59.86,0.25,0.63,0.06,-25.37,-31.12,-40.91,138.53
Strong_Bull,20-40,Big_Drop,60,164,2.28,0.88,54.9,13.24,-11.06,1.2,51.96,0.28,0.51,0.04,-22.57,-29.71,-41.06,58.22
Strong_Bull,20-40,Big_Drop,90,164,5.12,0.59,51.2,20.02,-10.53,1.9,55.65,0.38,0.87,0.09,-23.21,-32.97,-45.49,96.83
Strong_Bull,20-40,Drop,60,165,-0.59,-0.97,47.9,12.42,-12.54,0.99,59.86,-0.07,-0.11,-0.01,-27.0,-37.98,-50.17,72.13
Strong_Bull,20-40,Drop,90,165,0.63,-1.33,46.7,17.21,-13.87,1.24,60.12,0.05,0.09,0.01,-31.8,-38.76,-53.49,89.76
Strong_Bull,20-40,Jump,60,94,-0.16,-0.56,48.9,11.02,-10.88,1.01,51.96,-0.02,-0.04,-0.0,-24.43,-32.46,-46.41,37.53
Strong_Bull,20-40,Jump,90,94,0.02,-0.69,46.8,13.56,-11.9,1.14,54.04,0.0,0.0,0.0,-25.18,-31.2,-39.65,56.68
Strong_Bull,0-20,Spike,60,99,3.2,4.65,62.6,12.24,-12.28,1.0,49.0,0.43,0.71,0.07,-23.31,-28.01,-38.84,53.91
Strong_Bull,0-20,Spike,90,99,4.75,3.6,62.6,14.46,-11.53,1.25,53.97,0.48,1.2,0.09,-17.28,-24.27,-31.31,48.82
Strong_Bull,0-20,Flat,60,511,-0.21,0.34,50.5,12.09,-12.75,0.95,57.63,-0.03,-0.04,-0.0,-27.07,-37.32,-53.22,68.03
Strong_Bull,0-20,Flat,90,511,0.75,-1.04,47.0,17.45,-14.04,1.24,57.63,0.06,0.12,0.01,-30.89,-36.27,-48.97,85.11
Strong_Bull,0-20,Big_Drop,60,228,1.78,-0.05,49.6,15.33,-11.53,1.33,53.97,0.2,0.38,0.03,-24.44,-32.56,-39.5,60.49
Strong_Bull,0-20,Big_Drop,90,228,3.23,2.34,54.8,19.02,-15.92,1.19,61.44,0.23,0.48,0.05,-27.82,-38.69,-56.6,105.19
Strong_Bull,0-20,Drop,60,243,3.21,1.86,55.1,14.47,-10.63,1.36,57.63,0.38,0.61,0.06,-23.5,-34.15,-53.68,52.25
Strong_Bull,0-20,Drop,90,243,5.53,2.75,61.3,17.97,-14.19,1.27,61.44,0.38,0.77,0.09,-26.82,-37.74,-52.44,109.93
Strong_Bull,0-20,Jump,60,145,2.74,0.95,54.5,14.17,-10.95,1.29,52.17,0.32,0.6,0.05,-24.99,-29.29,-36.84,52.98
Strong_Bull,0-20,Jump,90,145,3.15,0.4,50.3,18.24,-12.16,1.5,53.97,0.25,0.52,0.06,-26.53,-30.4,-33.74,76.61
Strong_Bull,40-60,Spike,60,24,0.57,2.0,58.3,10.09,-12.76,0.79,47.61,0.07,0.11,0.01,-21.14,-27.63,-33.36,37.37
Strong_Bull,40-60,Spike,90,24,0.05,-1.2,45.8,14.68,-12.33,1.19,47.61,0.0,0.01,0.0,-23.56,-28.57,-33.18,37.0
Strong_Bull,40-60,Flat,60,158,2.09,3.03,60.1,12.14,-13.06,0.93,60.75,0.25,0.37,0.03,-27.26,-36.82,-57.37,45.17
Strong_Bull,40-60,Flat,90,158,2.92,2.56,54.4,16.95,-13.83,1.23,61.44,0.24,0.52,0.05,-25.74,-33.28,-38.87,66.89
