regime,trend_bucket,vol_bucket,Final_Ret,MAE,MFE,Ulcer_Index,Time_Underwater,Easy_Win_Pct,Count,Pain_to_Gain,MFE_Capture
Strong_Bear,0-20,Flat,15.746290524181292,-9.043294891985257,23.178336955186413,6.901219200484856,30.340136054421766,23.06122448979592,490,0.5743127168965689,0.6793537670379705
Strong_Bear,0-20,Drop,14.611494291075037,-8.03333411002885,21.863073223382482,6.4868981746946694,29.518716577540108,21.92513368983957,187,0.5497955205673766,0.668318408019971
Strong_Bear,20-40,Flat,14.37195337363431,-8.954255408938687,22.429109760752,7.275539619673092,34.134199134199136,25.541125541125542,231,0.623036770030543,0.6407723501707296
Strong_Bear,0-20,Jump,13.620245807635722,-8.371036858571635,21.782938429939406,7.250058263680389,32.1455938697318,22.988505747126435,87,0.6146024805131418,0.6252712806145323
Strong_Bear,0-20,Big_Drop,12.184404460767388,-8.420150022696678,20.34646852084263,6.956350198102631,31.715976331360945,16.56804733727811,169,0.6910596287088756,0.5988461559452373
Strong_Bear,80-100,Flat,11.330170885177285,-6.725934895481381,18.446245653040332,5.917044198215435,32.26890756302521,31.092436974789916,238,0.593630490099721,0.6142263904693166
Strong_Bear,0-20,Spike,10.276655725938152,-9.277817973806169,19.302772386705172,7.676881485077906,32.991452991452995,20.51282051282051,78,0.9028051752662173,0.532392731989951
Mild_Bear,0-20,Spike,9.958968158386785,-4.669377085689332,20.182231558246663,5.559401368437809,18.783783783783782,40.54054054054054,37,0.4688615337882259,0.4934522790329125
Strong_Bear,40-60,Flat,9.77454680827576,-8.186895730290285,17.49910812906993,6.293157647108618,33.87850467289719,26.168224299065418,107,0.8375729218830619,0.5585739990964483
Mild_Bear,40-60,Flat,9.58621717624798,-5.9299313695697,18.79546568883264,6.207122917092303,30.261194029850746,33.582089552238806,134,0.6185892996731229,0.5100281809959967
Recovery,80-100,Spike,9.58445721428941,-5.401820922067489,15.535365120077321,5.659424947132329,31.111111111111114,45.45454545454545,33,0.5636021739461622,0.616944445155191
Strong_Bear,80-100,Jump,8.995711031831513,-5.892430748358717,16.413465608158265,5.5811402384648305,27.944444444444446,38.333333333333336,60,0.6550266818829803,0.5480689603638748
Strong_Bear,60-80,Flat,8.852969551560129,-8.773640912906446,17.873263325738126,6.9508719978582105,39.02203856749311,31.40495867768595,121,0.9910393187063765,0.4953191473888007
Strong_Bear,40-60,Drop,8.6601671913015,-7.141186123401286,15.707384794429952,5.646846848431264,32.375,35.0,40,0.824601415383075,0.5513436708046084
Strong_Bear,20-40,Drop,8.43786923919439,-8.78580888321209,15.56005761882684,7.124443697053778,32.87037037037037,22.22222222222222,72,1.0412354866085742,0.5422775060283208
Strong_Bear,80-100,Big_Drop,8.289616492842514,-7.880107928549544,16.06049164535457,6.312769915660048,35.76923076923077,27.884615384615387,104,0.9505998178991089,0.5161496096067676
Mild_Bear,80-100,Jump,7.913028217683336,-6.503765924877607,14.766768038694302,5.7433188977250955,34.31818181818182,28.40909090909091,88,0.8219060700862365,0.5358673067084364
Mild_Bear,20-40,Drop,7.795870710052909,-7.657013947312846,17.614132901503332,7.1332164184153415,40.07662835249042,24.137931034482758,87,0.9821884215497565,0.44259179567037027
Mild_Bull,80-100,Spike,7.645515733173683,-8.27088353737451,17.109161319058682,7.015928456898464,42.035928143712574,35.92814371257485,167,1.0817953720881606,0.44686677450735074
Mild_Bear,60-80,Big_Drop,7.536012597683849,-6.1956978249006935,15.182065368213548,5.7962221770615105,34.671052631578945,36.84210526315789,76,0.8221453646196009,0.4963759814565072
Mild_Bear,0-20,Big_Drop,7.1755945807876405,-7.135362072263478,15.675137192091606,6.253013322970077,30.757575757575758,27.27272727272727,77,0.9943931463697958,0.4577691724706473
Strong_Bear,80-100,Spike,7.003165096406905,-8.719536171154626,14.686243948788118,6.366254822810593,43.108108108108105,27.027027027027028,37,1.2450850509904923,0.4768520202188793
Mild_Bear,0-20,Jump,6.822224131680981,-5.941041805702206,15.407467278634572,6.229271528362351,29.715447154471544,36.58536585365854,41,0.8708365030273999,0.44278686485619295
Strong_Bear,60-80,Drop,6.748006441706694,-8.614083265058545,14.460754311477265,6.952540121543809,39.78787878787879,25.454545454545453,55,1.2765374988112617,0.46664276955116446
Strong_Bull,60-80,Spike,6.709542959762938,-7.483779425440128,15.555896229543505,6.629683571683652,38.58173076923077,26.442307692307693,208,1.115393324153415,0.4313183156249322
Strong_Bear,20-40,Spike,6.6875991135296085,-11.01639465398691,15.711121933825629,8.545945291369216,48.58974358974359,7.6923076923076925,39,1.647286936159161,0.42566018784001575
Mild_Bear,0-20,Flat,6.58341729829441,-7.346181626196774,16.635942694409625,6.930628056954412,31.91025641025641,26.153846153846157,130,1.1158614581670185,0.39573455013804026
Mild_Bear,80-100,Spike,6.534200758193841,-7.075510474332522,14.445108917033732,5.926644909283508,33.813559322033896,25.423728813559322,59,1.08284252905145,0.452346935957588
Strong_Bull,60-80,Jump,6.4643918957347015,-8.81083135665954,15.778500113398398,6.926857226234047,40.763888888888886,26.515151515151516,264,1.3629791477328366,0.409696222662218
Recovery,80-100,Drop,6.464288172619279,-7.734362108674799,14.047687291163838,6.132698755631174,42.099567099567096,22.07792207792208,77,1.1964754513010667,0.4601674310251334
Strong_Bear,80-100,Drop,6.394131531585207,-7.555916433864864,13.583928293685737,6.091431148860591,36.79775280898876,28.08988764044944,89,1.1816954963376602,0.4707129920994513
Mild_Bear,20-40,Flat,6.367842075295307,-8.17548961245986,16.32238456838102,7.598295599273685,37.70833333333333,22.5,160,1.283871288858985,0.3901293985947863
