sector,regime,trend,volume,horizon,n,avg_ret,win_rate,sharpe
Banking,Recovery,80-100,Flat,60,20,6.155341780380073,80.0,1.8478699076027354
Banking,Recovery,80-100,Flat,90,20,-6.389476106522765,45.0,-0.5856427368604896
Banking,Strong_Bull,80-100,Spike,60,43,2.2635523815533873,65.11627906976744,0.5144286046334623
Banking,Strong_Bull,80-100,Spike,90,43,2.326287040460765,58.139534883720934,0.35079593767217965
Banking,Strong_Bull,80-100,Flat,60,302,0.46069411830692875,53.973509933774835,0.08777818101342444
Banking,Strong_Bull,80-100,Flat,90,302,1.6770157077187875,54.63576158940398,0.19910220515541577
Banking,Strong_Bull,80-100,Big_Drop,60,144,0.9494377257277612,52.77777777777778,0.14482958934639337
Banking,Strong_Bull,80-100,Big_Drop,90,144,1.0655632190267779,56.94444444444444,0.11528103956057051
Banking,Strong_Bull,80-100,Drop,60,150,1.6876914307495994,59.333333333333336,0.26749624703545033
Banking,Strong_Bull,80-100,Drop,90,150,1.3899830676961291,59.333333333333336,0.1561751839505075
Banking,Strong_Bull,80-100,Jump,60,72,1.4603961547878805,55.55555555555556,0.2705778467619769
Banking,Strong_Bull,80-100,Jump,90,72,3.4677312416783113,62.5,0.45232224393350573
Banking,Strong_Bull,60-80,Spike,60,19,2.286801462641273,63.1578947368421,0.22997025080744704
Banking,Strong_Bull,60-80,Spike,90,19,2.5599707238258356,52.63157894736842,0.2299890712381224
Banking,Strong_Bull,60-80,Flat,60,107,4.019212505101554,68.22429906542055,0.6598216372626523
Banking,Strong_Bull,60-80,Flat,90,107,4.123463344213226,66.35514018691589,0.42292740166983345
Banking,Strong_Bull,60-80,Big_Drop,60,45,2.7726298291007403,60.0,0.42577280714077204
Banking,Strong_Bull,60-80,Big_Drop,90,45,5.098064446106312,62.22222222222222,0.6516929729467836
Banking,Strong_Bull,60-80,Drop,60,53,1.5526493030035842,54.71698113207547,0.2888957911007511
Banking,Strong_Bull,60-80,Drop,90,53,2.171344301734968,58.490566037735846,0.33600584240947845
Banking,Strong_Bull,60-80,Jump,60,34,4.342373624117276,70.58823529411765,0.4512761181321232
Banking,Strong_Bull,60-80,Jump,90,34,4.657652047173401,64.70588235294117,0.3837042622242324
Banking,Strong_Bull,20-40,Flat,60,34,8.993068661430378,85.29411764705883,1.0442417678003793
Banking,Strong_Bull,20-40,Flat,90,34,11.683282568400296,70.58823529411765,0.736000677623137
Banking,Strong_Bull,20-40,Drop,60,16,-1.4977213401602727,50.0,-0.14725205178488346
Banking,Strong_Bull,20-40,Drop,90,16,-2.8984601715243477,50.0,-0.21156134264376908
Banking,Strong_Bull,0-20,Flat,60,19,10.13577081532802,94.73684210526315,3.8632474244726343
Banking,Strong_Bull,0-20,Flat,90,19,11.511119716473232,78.94736842105263,1.6434052552349732
Banking,Strong_Bull,0-20,Drop,60,21,18.777588657449183,85.71428571428571,1.9884425182353884
Banking,Strong_Bull,0-20,Drop,90,21,34.66793609338366,95.23809523809523,1.6496097951675603
Banking,Strong_Bull,40-60,Flat,60,18,18.352297198036823,94.44444444444444,2.348060309275004
Banking,Strong_Bull,40-60,Flat,90,18,21.6713522820545,88.88888888888889,1.5970757421048427
Banking,Mild_Bull,80-100,Flat,60,61,-0.7047834292434447,49.18032786885246,-0.14955483053094057
Banking,Mild_Bull,80-100,Flat,90,61,1.259511949478158,52.459016393442624,0.19199937021424532
Banking,Mild_Bull,80-100,Big_Drop,60,31,-5.619649292594028,48.38709677419355,-0.5767892824533496
Banking,Mild_Bull,80-100,Big_Drop,90,31,-2.0347330703964297,54.83870967741935,-0.18425461050812028
Banking,Mild_Bull,80-100,Drop,60,26,-2.4099908490068707,46.15384615384615,-0.35240542167994904
Banking,Mild_Bull,80-100,Drop,90,26,2.294391631782781,61.53846153846154,0.32850515439922773
Banking,Mild_Bull,80-100,Jump,60,16,3.4959533307680983,50.0,0.6086472922569479
Banking,Mild_Bull,80-100,Jump,90,16,6.176974051649555,68.75,0.8340014252825273
Banking,Mild_Bull,60-80,Spike,60,16,3.3510252688816573,75.0,0.5691009475447251
Banking,Mild_Bull,60-80,Spike,90,16,4.880664834798803,75.0,0.5932701528721614
Banking,Mild_Bull,60-80,Flat,60,62,2.5820767900859147,70.96774193548387,0.3485990759791951
Banking,Mild_Bull,60-80,Flat,90,62,6.604337862329623,72.58064516129032,0.6746648477714161
Banking,Mild_Bull,60-80,Big_Drop,60,23,0.7620612085879792,56.52173913043478,0.1181090776687681
Banking,Mild_Bull,60-80,Big_Drop,90,23,8.740652723701226,73.91304347826086,1.224364021337151
Banking,Mild_Bull,60-80,Drop,60,27,4.388710597586511,66.66666666666666,0.5052143397717679
Banking,Mild_Bull,60-80,Drop,90,27,8.481540139747842,70.37037037037037,0.874260163096158
Banking,Mild_Bull,60-80,Jump,60,20,4.257802711203509,70.0,0.8131903878100969
Banking,Mild_Bull,60-80,Jump,90,20,9.39158002064031,85.0,1.1931020611986685
Banking,Mild_Bull,20-40,Flat,60,43,5.6298599314869024,72.09302325581395,1.0235633251976084
Banking,Mild_Bull,20-40,Flat,90,43,9.308437616039544,83.72093023255815,1.337245200129307
Banking,Mild_Bull,20-40,Big_Drop,60,18,5.452197705165741,66.66666666666666,1.2776737138937515
Banking,Mild_Bull,20-40,Big_Drop,90,18,9.687684814472327,88.88888888888889,1.5652154193284828
Banking,Mild_Bull,0-20,Flat,60,18,3.883805018721959,66.66666666666666,0.6584311927027765
Banking,Mild_Bull,0-20,Flat,90,18,7.538565248175713,72.22222222222221,1.0486203407098447
Banking,Mild_Bull,0-20,Big_Drop,60,18,1.9670385370273265,55.55555555555556,0.5144743504720147
Banking,Mild_Bull,0-20,Big_Drop,90,18,7.586918756161607,77.77777777777779,1.1936983315642709
Banking,Strong_Bear,80-100,Flat,60,24,8.27795232675158,83.33333333333334,2.2715609712074167
Banking,Strong_Bear,80-100,Flat,90,24,10.620912423677936,87.5,1.9853545792047196
Banking,Strong_Bear,20-40,Flat,60,27,10.838977260287557,96.29629629629629,3.7428775719626706
Banking,Strong_Bear,20-40,Flat,90,27,11.839119381640614,92.5925925925926,2.536517621389977
Banking,Strong_Bear,0-20,Flat,60,61,12.395636091481224,90.1639344262295,2.538000152929871
Banking,Strong_Bear,0-20,Flat,90,61,14.845059999330187,93.44262295081968,2.665317495458266
Banking,Mild_Bear,80-100,Flat,60,43,3.343969224441194,67.44186046511628,0.9176583408820822
Banking,Mild_Bear,80-100,Flat,90,43,3.3398356162705385,60.46511627906976,0.5904248961414238
Banking,Mild_Bear,80-100,Big_Drop,60,24,6.718626705033675,91.66666666666666,1.9051091838044145
Banking,Mild_Bear,80-100,Big_Drop,90,24,4.919470947687327,66.66666666666666,0.7586954157787693
Banking,Mild_Bear,80-100,Drop,60,26,4.096628003667093,69.23076923076923,1.0644376479995472
Banking,Mild_Bear,80-100,Drop,90,26,5.469183586288987,69.23076923076923,0.8800099868853484
IT_Services,Strong_Bull,60-80,Flat,60,85,4.585851581545921,74.11764705882354,0.9993674839434141
IT_Services,Strong_Bull,60-80,Flat,90,85,8.425095995349327,78.82352941176471,1.1882282541301479
IT_Services,Strong_Bull,60-80,Big_Drop,60,42,6.223274789989047,73.80952380952381,1.0283860962941835
IT_Services,Strong_Bull,60-80,Big_Drop,90,42,9.025813165580418,73.80952380952381,1.0563332122626932
IT_Services,Strong_Bull,60-80,Spike,60,19,10.336451126831912,89.47368421052632,2.001150763722924
IT_Services,Strong_Bull,60-80,Spike,90,19,11.17196854299893,84.21052631578947,1.6006184460738266
IT_Services,Strong_Bull,60-80,Drop,60,41,2.476698698390773,63.41463414634146,0.48642620656737234
IT_Services,Strong_Bull,60-80,Drop,90,41,5.13872595775011,63.41463414634146,0.6751072485090494
IT_Services,Strong_Bull,60-80,Jump,60,23,6.8273697227277435,78.26086956521739,1.6567808661633365
IT_Services,Strong_Bull,60-80,Jump,90,23,11.427739946546682,91.30434782608695,1.9168393835721902
IT_Services,Strong_Bull,80-100,Flat,60,270,6.802239347921661,72.5925925925926,1.0822348666241532
IT_Services,Strong_Bull,80-100,Flat,90,270,9.170571607299546,74.81481481481481,0.9899756241539422
IT_Services,Strong_Bull,80-100,Big_Drop,60,136,3.909375262377631,60.29411764705882,0.744842473371974
IT_Services,Strong_Bull,80-100,Big_Drop,90,136,6.507155810785641,69.85294117647058,0.8987936680796969
IT_Services,Strong_Bull,80-100,Spike,60,61,4.28918983489628,63.934426229508205,0.8240897765738245
IT_Services,Strong_Bull,80-100,Spike,90,61,7.756194996027086,67.21311475409836,0.8224740058245775
IT_Services,Strong_Bull,80-100,Drop,60,159,4.839269022481577,64.15094339622641,0.9067881461049453
IT_Services,Strong_Bull,80-100,Drop,90,159,9.176123314796794,75.47169811320755,1.1847619560454576
IT_Services,Strong_Bull,80-100,Jump,60,97,4.235128165984429,60.824742268041234,0.7475001403882376
IT_Services,Strong_Bull,80-100,Jump,90,97,6.1156659852210655,67.0103092783505,0.7742393736093837
IT_Services,Strong_Bull,20-40,Flat,60,25,1.980442449249922,44.0,0.2747346969499485
IT_Services,Strong_Bull,20-40,Flat,90,25,4.701719877416448,56.00000000000001,0.42896676523083244
IT_Services,Strong_Bull,20-40,Big_Drop,60,19,5.860902502806298,68.42105263157895,0.8857879092178392
IT_Services,Strong_Bull,20-40,Big_Drop,90,19,8.637936524997114,68.42105263157895,1.0919895373345199
IT_Services,Strong_Bull,20-40,Drop,60,21,6.536415047457209,66.66666666666666,1.0241037098447758
IT_Services,Strong_Bull,20-40,Drop,90,21,5.8906078625066485,57.14285714285714,0.6069065637330993
IT_Services,Strong_Bull,0-20,Flat,60,41,4.775549204636338,58.536585365853654,0.7512153654086353
IT_Services,Strong_Bull,0-20,Flat,90,41,7.1036540211706445,65.85365853658537,0.6918741118973903
IT_Services,Strong_Bull,0-20,Drop,60,28,4.788732549571159,60.71428571428571,1.0993883119120993
IT_Services,Strong_Bull,0-20,Drop,90,28,8.166625182360118,85.71428571428571,1.2739272063958853
IT_Services,Mild_Bull,60-80,Flat,60,41,2.7274048034591507,48.78048780487805,0.36985221351559616
IT_Services,Mild_Bull,60-80,Flat,90,41,3.9821129027424598,56.09756097560976,0.31024646650290877
IT_Services,Mild_Bull,60-80,Big_Drop,60,36,3.5625511473232994,63.888888888888886,0.4860089573421445
IT_Services,Mild_Bull,60-80,Big_Drop,90,36,6.093944721897659,61.111111111111114,0.4689233219196958
IT_Services,Mild_Bull,60-80,Drop,60,29,2.6339219982343223,58.620689655172406,0.43740406097194967
IT_Services,Mild_Bull,60-80,Drop,90,29,5.476282689871857,55.172413793103445,0.49788657981287804
IT_Services,Mild_Bull,60-80,Jump,60,19,1.6837413956959095,47.368421052631575,0.19950229761049312
IT_Services,Mild_Bull,60-80,Jump,90,19,4.58385031057414,57.89473684210527,0.3828358635519741
IT_Services,Mild_Bull,80-100,Flat,60,84,-0.3446181438487357,44.047619047619044,-0.04709685037681499
IT_Services,Mild_Bull,80-100,Flat,90,84,-2.6678422074432593,42.857142857142854,-0.24123714635687937
IT_Services,Mild_Bull,80-100,Big_Drop,60,47,0.04438709653456748,53.191489361702125,0.00515569595100195
IT_Services,Mild_Bull,80-100,Big_Drop,90,47,1.6210845747178142,48.93617021276596,0.1500493626201354
IT_Services,Mild_Bull,80-100,Drop,60,42,-5.494218218352331,38.095238095238095,-0.7232891425681026
IT_Services,Mild_Bull,80-100,Drop,90,42,-6.320735773754528,40.476190476190474,-0.6890199285223547
IT_Services,Mild_Bull,80-100,Jump,60,20,-2.7223230199166553,40.0,-0.409140555310254
IT_Services,Mild_Bull,80-100,Jump,90,20,-2.1588567716803726,45.0,-0.23336967060514446
IT_Services,Mild_Bull,20-40,Flat,60,26,1.8717948576870063,50.0,0.2878809869872067
IT_Services,Mild_Bull,20-40,Flat,90,26,4.086355624839052,65.38461538461539,0.45161205458984977
IT_Services,Mild_Bull,0-20,Flat,60,18,0.07837140282009265,55.55555555555556,0.018993758200250014
IT_Services,Mild_Bull,0-20,Flat,90,18,7.469251166408515,72.22222222222221,1.4216541512380465
IT_Services,Strong_Bear,0-20,Flat,60,36,9.336631909132064,69.44444444444444,1.3190568202342696
IT_Services,Strong_Bear,0-20,Flat,90,36,17.908782974035816,72.22222222222221,1.2632122523590983
IT_Services,Strong_Bear,0-20,Big_Drop,60,20,7.290751279087607,55.00000000000001,0.8567765431002351
IT_Services,Strong_Bear,0-20,Big_Drop,90,20,7.402613408471832,50.0,0.5238679104808226
IT_Services,Strong_Bear,0-20,Drop,60,22,5.3430186299266795,45.45454545454545,0.6714682727937079
IT_Services,Strong_Bear,0-20,Drop,90,22,8.474546720291844,59.09090909090909,0.6108173081600716
IT_Services,Strong_Bear,0-20,Jump,60,18,6.764574610017977,61.111111111111114,0.910123612827985
IT_Services,Strong_Bear,0-20,Jump,90,18,11.06141004718684,55.55555555555556,0.7275090443249002
IT_Services,Mild_Bear,80-100,Flat,60,32,12.505563847951878,90.625,2.262985874457291
IT_Services,Mild_Bear,80-100,Flat,90,32,13.494690003461207,78.125,1.4879666000284255
IT_Services,Mild_Bear,80-100,Big_Drop,60,22,8.96370726902776,86.36363636363636,1.9091996618504454
IT_Services,Mild_Bear,80-100,Big_Drop,90,22,12.404615181193678,86.36363636363636,1.3411421163470059
IT_Services,Mild_Bear,80-100,Drop,60,17,14.033990570834822,76.47058823529412,1.6637188565915968
IT_Services,Mild_Bear,80-100,Drop,90,17,18.96096764079762,76.47058823529412,1.4536132721933315
Pharma,Strong_Bull,20-40,Flat,60,36,-0.26661909612294177,44.44444444444444,-0.039248594175687955
Pharma,Strong_Bull,20-40,Flat,90,36,1.1783310632763022,52.77777777777778,0.1011771136524555
Pharma,Strong_Bull,20-40,Drop,60,21,-2.698163802475046,42.857142857142854,-0.4202055866021623
Pharma,Strong_Bull,20-40,Drop,90,21,0.5264978634956672,52.38095238095239,0.0731150823422399
Pharma,Strong_Bull,20-40,Big_Drop,60,22,-2.6276399675148503,45.45454545454545,-0.4314315833406073
Pharma,Strong_Bull,20-40,Big_Drop,90,22,5.57980559853207,45.45454545454545,0.4436715975822264
Pharma,Strong_Bull,40-60,Flat,60,25,6.388782140030353,64.0,1.1102869535149575
Pharma,Strong_Bull,40-60,Flat,90,25,8.19824272451255,72.0,0.9927819808965216
Pharma,Strong_Bull,0-20,Flat,60,103,-0.9472019697933319,39.80582524271845,-0.1447443453394222
