ticker,name,sector,return_12mo,rally_start_date,quality,value,growth,momentum,overall,score_at_rally_start,score_at_1mo,score_at_3mo,score_current,trend_entries,trend_exits,super_uptrend_entries,avg_trend_duration_days,max_trend_duration_days,time_in_trend_pct,max_drawdown_pct,drawdown_peak_date,drawdown_trough_date,recovery_days,recovered,avg_volume_before,avg_volume_during,volume_increase_pct,volume_spike_days,max_volume_spike,volume_breakout_days,volume_breakout_accuracy,avg_gain_after_breakout,sideways_periods,total_sideways_days,sideways_pct_of_period,max_sideways_streak,avg_sideways_length,trailing_10_triggers,trailing_10_captured,trailing_15_triggers,trailing_15_captured,trailing_20_triggers,trailing_20_captured,early_return_pct,early_volatility,early_max_drawdown,early_avg_daily_range,early_days,mid_return_pct,mid_volatility,mid_max_drawdown,mid_avg_daily_range,mid_days,late_return_pct,late_volatility,late_max_drawdown,late_avg_daily_range,late_days
FORCEMOT.NS,Force Motors Limited,Auto,211.8,2024-07-29,10.0,6.3,9.2,10.0,8.9,,,,100.0,2,1,4,105.0,205,84.0,-34.39,2024-07-30,2024-10-25,189.0,True,48003,84043,75.1,105,25.8,105,59.2,1.9,1,5,1.4,5,5.0,247,-2.8,211,-8.5,165,-14.3,-22.7,54.4,-34.4,3.83,92,171.4,56.3,-17.4,4.66,184,14.5,39.3,-22.9,3.82,93
HINDCOPPER.NS,Hindustan Copper Limited,Metals & Mining,136.2,2024-08-26,8.5,3.8,10.0,10.0,8.1,,,,,3,2,3,40.0,95,48.0,-46.15,2024-10-01,2025-04-07,185.0,True,11631453,9827383,-15.5,28,16.8,28,70.8,4.53,1,8,2.3,8,8.0,242,-5.2,226,-10.2,190,-17.3,-24.8,36.1,-29.2,3.56,87,0.3,42.0,-25.2,3.76,175,,51.6,-14.0,4.19,88
MCX.NS,Multi Commodity Exchange of India Limited,Financial Services,120.4,2024-06-12,9.7,1.5,10.0,10.0,7.8,,,,100.0,3,2,4,75.0,190,90.0,-34.67,2024-12-06,2025-03-10,87.0,True,4541322,2643465,-41.8,4,3.1,4,50.0,-0.06,4,21,5.2,6,5.2,139,61.1,74,53.5,35,45.3,70.5,34.5,-6.7,3.51,100,22.9,40.8,-34.7,3.51,200,61.3,31.9,-5.6,2.81,100
ATHERENERG.NS,Ather Energy Limited,Auto,113.9,2025-07-14,1.5,0.0,,2.6,,65.0,65.0,53.0,25.0,2,2,0,60.0,105,92.3,-18.3,2025-10-21,2025-11-10,,False,1630162,3281877,101.3,44,17.2,44,65.9,2.6,0,0,0.0,0,0.0,34,93.9,14,84.3,0,never_triggered,25.1,55.5,-5.9,4.69,32,57.5,55.9,-18.3,5.66,65,-8.2,45.0,-16.7,4.35,33
LTF.NS,L&T Finance Limited,Financial Services,105.8,2024-09-12,3.0,4.8,4.4,4.1,4.1,,,,,1,0,2,195.0,195,78.0,-30.42,2024-10-01,2025-01-13,144.0,True,7518198,7030878,-6.5,21,9.4,21,52.4,0.03,8,67,19.9,14,8.4,139,-3.4,121,-9.5,102,-15.9,-24.9,33.4,-30.4,3.1,84,83.1,30.3,-13.5,3.0,168,,31.4,-9.9,2.65,85
ABCAPITAL.NS,Aditya Birla Capital Limited,Financial Services,105.7,2024-09-12,0.5,4.5,0.9,8.2,3.6,,,,100.0,2,1,1,90.0,175,72.0,-37.07,2024-10-01,2025-02-25,105.0,True,7705254,5031517,-34.7,11,4.1,11,72.7,0.63,7,55,16.3,14,7.9,144,-2.1,130,-8.0,92,-14.9,-23.0,30.6,-30.7,2.91,84,66.3,34.8,-15.1,3.03,168,27.0,24.7,-5.4,2.44,85
RBLBANK.NS,RBL Bank Limited,Banking,97.8,2025-01-30,,6.0,0.8,6.4,,24.0,0.0,74.0,100.0,1,0,4,190.0,190,77.6,-11.64,2025-02-05,2025-02-18,34.0,True,8689365,10336385,19.0,27,11.7,27,70.4,2.52,4,32,13.3,11,8.0,1,-7.1,0,never_triggered,0,never_triggered,23.3,46.1,-11.6,3.86,60,62.1,34.7,-6.8,3.34,120,1.7,22.1,-9.7,2.39,61
SHRIRAMFIN.NS,Shriram Finance Limited,Financial Services,91.5,2024-12-10,5.0,4.8,5.3,10.0,6.3,,,80.0,100.0,3,2,6,65.0,110,78.0,-21.24,2024-12-11,2025-01-27,51.0,True,7633159,6726490,-11.9,14,4.6,14,71.4,2.17,6,39,14.1,8,6.5,94,-9.7,31,-16.5,3,-18.9,-1.7,38.1,-21.2,3.66,69,0.3,34.4,-18.8,2.81,138,52.3,24.9,-4.6,2.4,70
NATIONALUM.NS,National Aluminium Company Limited,Metals & Mining,90.3,2024-06-20,10.0,7.0,9.1,10.0,9.0,,,,100.0,3,2,1,38.0,95,46.0,-42.12,2024-11-22,2025-04-11,213.0,True,23485193,13795306,-41.3,8,4.6,8,62.5,1.94,5,36,9.1,11,7.2,239,-3.2,194,-9.6,150,7.5,26.1,38.9,-20.0,3.59,98,-19.2,40.2,-42.1,3.32,198,102.6,35.0,-7.0,2.71,99
LAURUSLABS.NS,Laurus Labs Limited,Pharma & Healthcare,89.4,2024-07-02,7.9,4.4,10.0,8.4,7.7,,,,,1,0,7,250.0,250,100.0,-18.69,2025-02-07,2025-02-21,60.0,True,2018123,2414284,19.6,40,11.6,40,62.5,2.27,7,55,14.2,11,7.9,41,-1.7,7,16.8,0,never_triggered,10.6,31.1,-15.0,3.25,96,75.5,38.4,-18.7,3.28,194,,24.4,-10.7,2.39,97
ASHOKLEY.NS,Ashok Leyland Limited,Auto,87.0,2024-07-22,7.2,3.8,5.2,7.8,6.0,,,,100.0,2,1,3,90.0,175,72.0,-24.51,2024-08-27,2025-03-12,159.0,True,35210409,15847326,-55.0,4,2.6,4,75.0,1.0,12,108,28.9,23,9.0,144,2.0,92,-3.6,32,-9.8,2.9,27.1,-20.6,2.64,93,13.3,31.3,-16.9,2.58,187,45.0,26.0,-6.6,2.36,94
MUTHOOTFIN.NS,Muthoot Finance Limited,Financial Services,84.1,2024-07-26,6.8,5.7,10.0,8.5,7.8,,,,,1,0,4,250.0,250,100.0,-16.53,2025-03-19,2025-04-11,56.0,True,671022,656115,-2.2,26,13.1,26,61.5,2.19,11,94,25.4,20,8.5,25,2.3,2,13.1,0,never_triggered,9.4,24.6,-14.0,2.62,92,43.7,33.5,-16.5,2.82,185,,26.5,-5.7,2.04,93
GMDCLTD.NS,Gujarat Mineral Development Corporation Limited,Metals & Mining,83.1,2024-07-08,6.7,6.6,5.7,6.0,6.3,,,,98.0,1,0,4,170.0,170,68.0,-42.14,2024-07-10,2025-03-03,98.0,True,2453718,3463373,41.1,63,21.7,63,52.5,0.59,2,24,6.3,13,12.0,251,-11.6,148,-15.3,111,-24.4,-20.0,36.7,-24.6,3.5,95,25.3,49.1,-35.5,4.16,192,30.1,55.8,-25.5,4.93,96
AIIL.NS,Authum Investment & Infrastructure Limited,Financial Services,82.9,2024-07-04,5.9,4.3,1.0,6.5,4.4,,,,31.0,4,4,2,46.0,155,74.0,-27.65,2025-01-03,2025-02-28,75.0,True,345760,730566,111.3,120,51.2,120,59.0,1.23,0,0,0.0,0,0.0,136,-11.1,70,36.6,31,33.8,37.2,54.9,-16.5,4.82,96,108.9,50.5,-27.6,4.78,192,-2.0,36.5,-23.3,3.32,97
CRAFTSMAN.NS,Craftsman Automation Limited,Auto,69.6,2024-12-24,3.4,3.0,8.5,8.9,6.0,,1.0,29.0,100.0,1,0,2,175.0,175,70.0,-27.38,2024-12-27,2025-02-14,97.0,True,77972,55646,-28.6,16,6.5,16,43.8,-0.04,2,18,6.7,13,9.0,67,-7.5,36,-12.3,22,-17.3,-7.9,42.2,-27.4,3.9,66,33.1,33.6,-12.0,3.52,134,20.8,33.9,-7.2,3.07,67
