Signal,10d_Ret,20d_Ret,30d_Ret,45d_Ret,60d_Ret,90d_Ret
Bullish Divergence,61.206896551724135,54.310344827586206,43.103448275862064,43.103448275862064,40.51724137931034,35.3448275862069
Golden Cross,48.23529411764706,51.76470588235295,47.05882352941176,56.470588235294116,56.470588235294116,67.05882352941175
High Momentum (>8),50.58275058275058,55.71095571095571,53.84615384615385,48.484848484848484,45.92074592074592,38.46153846153847
Trend Breakout (>70),49.6,52.0,48.8,46.400000000000006,45.33333333333333,49.6
Volume Spike (>8),48.93428063943161,51.42095914742452,49.644760213143876,48.756660746003554,46.53641207815276,41.47424511545293
