Ticker,Entry,Exit,EntryPrice,ExitPrice,Return,Strategy
HCLTECH.NS,2023-04-05 00:00:00+05:30,2023-04-06 00:00:00+05:30,990.707275390625,973.4554443359375,-0.017413651320855893,Standard
HAVELLS.NS,2023-04-05 00:00:00+05:30,2023-04-06 00:00:00+05:30,1179.044677734375,1172.8104248046875,-0.005287545966169065,Standard
DABUR.NS,2023-04-05 00:00:00+05:30,2023-04-06 00:00:00+05:30,529.4595947265625,508.0610046386719,-0.04041590765569533,Standard
BPCL.NS,2023-04-10 00:00:00+05:30,2023-04-13 00:00:00+05:30,141.40977478027344,139.91482543945312,-0.010571753919721658,Standard
NTPC.NS,2023-04-05 00:00:00+05:30,2023-04-17 00:00:00+05:30,162.2069549560547,156.3974151611328,-0.03581560233650772,Standard
TECHM.NS,2023-04-05 00:00:00+05:30,2023-04-17 00:00:00+05:30,1006.089111328125,939.0316162109375,-0.06665164582555295,Standard
ABB.NS,2023-04-05 00:00:00+05:30,2023-04-18 00:00:00+05:30,3321.23046875,3157.390869140625,-0.049330993784071464,Standard
SHREECEM.NS,2023-04-05 00:00:00+05:30,2023-04-18 00:00:00+05:30,26205.017578125,24949.525390625,-0.04791037379604887,Standard
APOLLOHOSP.NS,2023-04-13 00:00:00+05:30,2023-04-18 00:00:00+05:30,4367.74462890625,4308.509765625,-0.013561887956824828,Standard
BRITANNIA.NS,2023-04-17 00:00:00+05:30,2023-04-18 00:00:00+05:30,4227.453125,4191.64453125,-0.00847048865858211,Standard
SIEMENS.NS,2023-04-05 00:00:00+05:30,2023-04-21 00:00:00+05:30,1952.4630126953125,1893.210205078125,-0.03034772348152752,Standard
MARUTI.NS,2023-04-11 00:00:00+05:30,2023-04-21 00:00:00+05:30,8407.5498046875,8309.3916015625,-0.011675007035970623,Standard
SUNPHARMA.NS,2023-04-05 00:00:00+05:30,2023-04-24 00:00:00+05:30,969.470947265625,951.9705810546875,-0.018051460191042302,Standard
BHARTIARTL.NS,2023-04-20 00:00:00+05:30,2023-04-24 00:00:00+05:30,758.1699829101562,746.3405151367188,-0.015602659087123608,Standard
UPL.NS,2023-04-05 00:00:00+05:30,2023-04-25 00:00:00+05:30,713.1810913085938,695.9918823242188,-0.024102165906887768,Standard
GODREJCP.NS,2023-04-05 00:00:00+05:30,2023-04-28 00:00:00+05:30,930.6807250976562,871.1182250976562,-0.06399885416532089,Standard
HDFCBANK.NS,2023-04-05 00:00:00+05:30,2023-05-05 00:00:00+05:30,795.7311401367188,782.2103881835938,-0.01699160843548479,Standard
UPL.NS,2023-05-02 00:00:00+05:30,2023-05-05 00:00:00+05:30,732.8536376953125,696.1865844726562,-0.05003325539594409,Standard
DRREDDY.NS,2023-04-05 00:00:00+05:30,2023-05-11 00:00:00+05:30,918.0,888.437744140625,-0.03220289309300109,Standard
LT.NS,2023-04-05 00:00:00+05:30,2023-05-12 00:00:00+05:30,2194.47216796875,2158.849853515625,-0.016232748345173943,Standard
DMART.NS,2023-04-27 00:00:00+05:30,2023-05-17 00:00:00+05:30,3500.800048828125,3400.199951171875,-0.02873631634286722,Standard
GAIL.NS,2023-04-05 00:00:00+05:30,2023-05-18 00:00:00+05:30,94.95946502685547,95.68021392822266,0.007590069101203894,Standard
ADANIPORTS.NS,2023-05-04 00:00:00+05:30,2023-05-18 00:00:00+05:30,669.0709838867188,654.5035400390625,-0.021772643259810952,Standard
NTPC.NS,2023-05-02 00:00:00+05:30,2023-05-19 00:00:00+05:30,161.9303436279297,159.8093719482422,-0.013098049643869684,Standard
SIEMENS.NS,2023-04-24 00:00:00+05:30,2023-05-22 00:00:00+05:30,1904.367431640625,1980.7496337890625,0.04010896262946155,Standard
NTPC.NS,2023-05-24 00:00:00+05:30,2023-05-25 00:00:00+05:30,161.33090209960938,160.91595458984375,-0.002572027456397826,Standard
GAIL.NS,2023-05-23 00:00:00+05:30,2023-05-26 00:00:00+05:30,96.8514404296875,95.81536102294922,-0.010697614843327574,Standard
ONGC.NS,2023-04-05 00:00:00+05:30,2023-05-29 00:00:00+05:30,134.5334930419922,139.90077209472656,0.039895485736470664,Standard
POLICYBZR.NS,2023-04-05 00:00:00+05:30,2023-05-30 00:00:00+05:30,601.0999755859375,599.5499877929688,-0.002578585686112963,Standard
POWERGRID.NS,2023-04-05 00:00:00+05:30,2023-06-01 00:00:00+05:30,149.88104248046875,154.76304626464844,0.03257252353856472,Standard
POLICYBZR.NS,2023-05-31 00:00:00+05:30,2023-06-01 00:00:00+05:30,605.9500122070312,598.5999755859375,-0.012129773864221836,Standard
COALINDIA.NS,2023-04-05 00:00:00+05:30,2023-06-05 00:00:00+05:30,184.1346893310547,190.09323120117188,0.03235969220011749,Standard
KOTAKBANK.NS,2023-04-11 00:00:00+05:30,2023-06-08 00:00:00+05:30,368.16766357421875,376.1431579589844,0.021662669413545194,Standard
SRF.NS,2023-04-05 00:00:00+05:30,2023-06-09 00:00:00+05:30,2354.797119140625,2407.86572265625,0.02253638034642755,Standard
TECHM.NS,2023-05-19 00:00:00+05:30,2023-06-09 00:00:00+05:30,977.5064697265625,969.2098388671875,-0.008487545726112497,Standard
DRREDDY.NS,2023-06-13 00:00:00+05:30,2023-06-14 00:00:00+05:30,921.763916015625,921.1758422851562,-0.0006379873634137588,Standard
ICICIBANK.NS,2023-04-05 00:00:00+05:30,2023-06-19 00:00:00+05:30,863.2285766601562,900.8472900390625,0.04357908715725514,Standard
HINDALCO.NS,2023-06-20 00:00:00+05:30,2023-06-21 00:00:00+05:30,420.65338134765625,412.80810546875,-0.018650214705922895,Standard
SBIN.NS,2023-05-04 00:00:00+05:30,2023-06-22 00:00:00+05:30,548.5457763671875,542.7667236328125,-0.01053522419340733,Standard
VBL.NS,2023-04-05 00:00:00+05:30,2023-06-23 00:00:00+05:30,288.85711669921875,304.60443115234375,0.054515930343244305,Standard
GRASIM.NS,2023-04-06 00:00:00+05:30,2023-06-23 00:00:00+05:30,1641.057861328125,1687.318603515625,0.02818958628921268,Standard
