ticker,name,sector,return_3mo,rally_start_date,quality,value,growth,momentum,overall,score_at_rally_start,score_at_1mo,score_at_3mo,score_current,trend_entries,trend_exits,super_uptrend_entries,avg_trend_duration_days,max_trend_duration_days,time_in_trend_pct,max_drawdown_pct,drawdown_peak_date,drawdown_trough_date,recovery_days,recovered,avg_volume_before,avg_volume_during,volume_increase_pct,volume_spike_days,max_volume_spike,volume_breakout_days,volume_breakout_accuracy,avg_gain_after_breakout,sideways_periods,total_sideways_days,sideways_pct_of_period,max_sideways_streak,avg_sideways_length,trailing_10_triggers,trailing_10_captured,trailing_15_triggers,trailing_15_captured,trailing_20_triggers,trailing_20_captured,early_return_pct,early_volatility,early_max_drawdown,early_avg_daily_range,early_days,mid_return_pct,mid_volatility,mid_max_drawdown,mid_avg_daily_range,mid_days,late_return_pct,late_volatility,late_max_drawdown,late_avg_daily_range,late_days
HINDCOPPER.NS,Hindustan Copper Limited,Metals & Mining,65.9,2025-05-12,8.5,3.8,10.0,10.0,8.1,,,,,1,0,2,65.0,65,100.0,-18.98,2025-07-02,2025-08-29,18.0,True,4943655,14492575,193.2,63,39.5,63,62.7,3.57,1,8,4.6,8,8.0,37,10.3,14,5.3,0,never_triggered,17.6,33.2,-7.1,3.39,43,27.2,45.9,-16.7,3.57,88,,55.2,-7.9,4.22,44
NATIONALUM.NS,National Aluminium Company Limited,Metals & Mining,63.5,2025-05-14,10.0,7.0,9.1,10.0,9.0,,,,100.0,1,0,1,70.0,70,100.0,-9.15,2025-07-24,2025-08-01,32.0,True,11552163,10849406,-6.1,17,6.3,17,64.3,2.25,5,36,20.8,11,7.2,0,never_triggered,0,never_triggered,0,never_triggered,9.4,23.8,-5.1,2.61,43,42.3,31.6,-9.2,2.48,86,39.6,36.8,-5.4,2.76,44
VEDL.NS,Vedanta Limited,Metals & Mining,42.6,2025-03-06,7.7,5.0,3.5,10.0,6.6,,,,,1,0,1,65.0,65,100.0,-21.55,2025-03-27,2025-04-09,83.0,True,8289530,9918844,19.7,21,5.5,21,63.2,2.18,6,44,20.4,10,7.3,22,-9.4,8,-9.4,3,-15.6,0.9,37.1,-21.6,2.71,54,15.1,24.0,-9.6,2.34,108,,25.5,-6.5,2.31,54
SHRIRAMFIN.NS,Shriram Finance Limited,Financial Services,42.2,2025-05-14,5.0,4.8,5.3,10.0,6.3,,,,,1,0,1,70.0,70,100.0,-18.76,2025-06-30,2025-08-28,56.0,True,6930390,6583966,-5.0,12,5.1,12,66.7,1.97,5,34,19.7,8,6.8,44,-5.1,10,-8.4,0,never_triggered,3.0,29.0,-6.9,2.69,43,21.6,28.7,-16.5,2.39,86,,23.8,-4.6,2.34,44
ASHOKLEY.NS,Ashok Leyland Limited,Auto,38.5,2025-04-15,7.2,3.8,5.2,7.8,6.0,,,,,1,0,1,70.0,70,100.0,-8.74,2025-07-14,2025-08-08,10.0,True,15799494,14165507,-10.3,10,5.7,10,30.0,-0.32,8,77,40.1,23,9.6,0,never_triggered,0,never_triggered,0,never_triggered,12.1,24.1,-4.6,2.26,48,18.2,25.3,-8.7,2.2,96,,28.7,-3.2,2.53,48
HINDZINC.NS,Hindustan Zinc Limited,Metals & Mining,34.5,2025-03-17,9.5,5.7,5.2,9.9,7.6,,,,100.0,1,0,2,65.0,65,100.0,-20.67,2025-06-10,2025-08-01,133.0,True,1370538,5893196,330.0,113,103.7,113,52.8,0.78,5,48,22.9,16,9.6,85,-6.6,49,2.5,2,-2.7,7.7,40.1,-13.3,3.27,52,4.7,29.8,-20.7,2.41,105,35.8,35.8,-8.3,2.57,53
KIRLOSENG.NS,Kirloskar Oil Engines Limited,Capital Goods,32.2,2025-04-11,3.2,5.8,8.9,6.5,6.1,,,,99.0,1,0,1,70.0,70,100.0,-14.18,2025-12-22,2026-01-12,,False,442464,593163,34.1,20,25.7,20,45.0,0.29,2,18,9.3,10,9.0,10,-7.8,0,never_triggered,0,never_triggered,16.5,51.3,-11.6,3.67,48,14.4,36.0,-11.6,3.13,96,24.5,49.8,-14.2,4.05,49
MCX.NS,Multi Commodity Exchange of India Limited,Financial Services,31.4,2025-04-11,9.7,1.5,10.0,10.0,7.8,,,,100.0,1,0,1,70.0,70,100.0,-18.13,2025-07-01,2025-08-29,46.0,True,2091420,2897222,38.5,31,6.6,31,73.3,2.84,3,16,8.3,6,5.3,43,47.9,12,41.4,0,never_triggered,48.6,41.6,-9.7,3.45,48,14.2,33.4,-18.1,2.81,96,30.2,31.6,-5.4,2.8,49
IIFL.NS,IIFL Finance Limited,Financial Services,27.1,2025-04-15,1.2,6.4,,7.8,,,,,100.0,1,0,1,70.0,70,100.0,-21.83,2025-07-21,2025-09-26,34.0,True,1884514,1779729,-5.6,17,5.5,17,52.9,1.55,2,12,6.2,6,6.0,46,43.8,38,28.5,3,28.5,44.4,40.3,-9.4,3.64,48,13.2,37.0,-21.8,3.06,96,17.3,26.5,-5.6,2.66,48
UNIONBANK.NS,Union Bank of India,Banking,26.8,2025-03-05,,6.1,2.7,10.0,,,,,100.0,1,0,1,70.0,70,100.0,-16.95,2025-06-09,2025-08-29,66.0,True,13249506,12796844,-3.4,15,6.7,15,85.7,2.48,5,43,19.8,13,8.6,35,1.7,6,13.3,0,never_triggered,21.7,43.1,-12.0,3.31,54,2.9,26.9,-17.0,2.56,108,18.8,27.8,-5.3,2.44,55
