Signal,10d_Ret,20d_Ret,30d_Ret,45d_Ret,60d_Ret,90d_Ret
Bullish Divergence,2.222502900903396,1.2526922175778121,0.18893442970052368,1.1039243364480258,1.6540411694824773,2.186706027410125
Golden Cross,-0.14042711483720258,1.6273367162699097,2.017885688171828,5.878899034678899,11.582358868370989,19.352279494977974
High Momentum (>8),0.8269041184432556,1.7347743466443744,2.066924274678583,2.2043746208156225,3.015457560850735,0.7323115159542324
Trend Breakout (>70),0.43061299233944467,1.4192868010414708,1.8755182210527577,2.9814376799271094,4.696455468771909,9.32549688668592
Volume Spike (>8),0.7765275091618773,1.8480481469309793,2.6431979327546142,3.6904584250280252,3.991340608226383,4.743397160563656
