Label,v3_cagr,v3_dd,v4_cagr,v4_dd,v4_vs_v3_alpha
6mo (Current Regime),2.0101399383544827,-92.97415112316943,-5.104268833160397,-94.14805120043339,-7.11440877151488
1 Yr (Recent Bull),13.0798974029541,-99.94576720692706,17.23463448028564,-99.98631469594537,4.154737077331539
3 Yr (Post-Covid),48.37840443080579,-99.99919950057438,40.181537573255845,-99.99987407658874,-8.196866857549942
5 Yr (Full Cycle),25.368260894418082,-99.99896917312287,28.10301604993144,-99.99872994041117,2.7347551555133585
10 Yr (Secular Bull),26.776628497660916,-99.99994883550337,26.823645423022914,-99.9997467239286,0.04701692536199786
15 Yr (Deep History),24.92243236246534,-99.99991616920775,29.6760929697818,-99.99986754549437,4.7536606073164585
