Ticker,Company_Name,Sub_Industry
COUNCODOS.NS,COUNTRY CONDO S LIMITED,Realty
CPEDU.NS,CAREER POINT EDUTECH LTD,Other Consumer Services
CPPLUS.NS,ADITYA INFOTECH LIMITED,Other Construction Materials
CRAFTSMAN.NS,CRAFTSMAN AUTOMATION LTD,Auto Components
CRAMC.NS,CANARA ROBECO AMC LIMITED,Capital Markets
CREATIVEYE.NS,CREATIVE EYE LIMITED,Entertainment
CREDITACC.NS,CREDITACCESS GRAMEEN LTD,Finance
CREST.NS,CREST VENTURES LIMITED,Finance
CRISIL.NS,CRISIL LTD,Capital Markets
CRIZAC.NS,CRIZAC LIMITED,Other Consumer Services
CROMPTON.NS,CROMPT GREA CON ELEC LTD,Consumer Durables
CROWN.NS,CROWN LIFTERS LIMITED,Commercial Services & Supplies
CSBBANK.NS,CSB BANK LIMITED,Banks
CSLFINANCE.NS,CSL FINANCE LIMITED,Finance
CTE.NS,CAMBRIDGE TECH ENTER LTD,IT - Services
CUB.NS,CITY UNION BANK LTD,Banks
CUBEXTUB.NS,CUBEX TUBINGS LTD,Non - Ferrous Metals
CUMMINSIND.NS,CUMMINS INDIA LTD,Industrial Manufacturing
CUPID.NS,CUPID LIMITED,Personal Products
CURAA.NS,CURA TECHNOLOGIES LIMITED,IT - Software
CYIENT.NS,CYIENT LIMITED,Diversified
CYIENTDLM.NS,CYIENT DLM LIMITED,Aerospace & Defense
DABUR.NS,DABUR INDIA LTD,Personal Products
DALBHARAT.NS,DALMIA BHARAT LIMITED,Other Construction Materials
DALMIASUG.NS,DALMIA BHARAT SUG IN LTD,Food Products
DAMCAPITAL.NS,DAM CAPITAL ADVISORS LTD,Capital Markets
DAMODARIND.NS,DAMODAR INDUSTRIES LTD,Textiles & Apparels
DANGEE.NS,DANGEE DUMS LIMITED,Leisure Services
DATAMATICS.NS,DATAMATICS GLOBAL SER LTD,IT - Services
DATAPATTNS.NS,DATA PATTERNS INDIA LTD,Aerospace & Defense
DAVANGERE.NS,DAVANGERE SUGAR COMPANY L,Food Products
DBCORP.NS,D.B.CORP LTD,Printing & Publication
DBL.NS,DILIP BUILDCON LIMITED,Construction
DBSTOCKBRO.NS,DB (INT) STOCK BROKERS,Capital Markets
DCAL.NS,DISHMAN CARBO AMCIS LTD,Pharmaceuticals & Biotechnology
DCBBANK.NS,DCB BANK LIMITED,Banks
DCMSHRIRAM.NS,DCM SHRIRAM LIMITED,Diversified
DCMSRIND.NS,DCM SHRIRAM IND LTD,Food Products
DCW.NS,DCW LTD,Chemicals & Petrochemicals
DCXINDIA.NS,DCX SYSTEMS LIMITED,Aerospace & Defense
DDEVPLSTIK.NS,DDEV PLASTIKS IND LTD,Chemicals & Petrochemicals
DECCANCE.NS,DECCAN CEMENTS LIMITED,Other Construction Materials
DEEPAKFERT.NS,DEEPAK FERTILIZERS & PETR,Chemicals & Petrochemicals
DEEPAKNTR.NS,DEEPAK NITRITE LTD,Chemicals & Petrochemicals
DEEPINDS.NS,DEEP INDUSTRIES LIMITED,Oil
DELHIVERY.NS,DELHIVERY LIMITED,Transport Services
DELPHIFX.NS,DELPHI WORLD MONEY LTD,Capital Markets
DELTACORP.NS,DELTA CORP LIMITED,Leisure Services
DELTAMAGNT.NS,DELTA MANUFACTURING LTD,Textiles & Apparels
DEN.NS,DEN NETWORKS LTD,Entertainment
DENORA.NS,DE NORA INDIA LIMITED,Electrical Equipment
DENTA.NS,DENTA WATER N INFRA SOL L,Construction
DEVIT.NS,DEV INFO TECHNOLOGY LTD,IT - Services
DEVX.NS,DEV ACCELERATOR LIMITED,Realty
DEVYANI.NS,DEVYANI INTERNATIONAL LTD,Leisure Services
DGCONTENT.NS,DIGICONTENT LIMITED,Other Consumer Services
DHAMPURSUG.NS,DHAMPUR SUGAR MILLS LTD.,Food Products
DHANBANK.NS,DHANLAXMI BANK LIMITED,Banks
DHANUKA.NS,DHANUKA AGRITECH LTD,Fertilizers & Agrochemicals
DHARMAJ.NS,DHARMAJ CROP GUARD LTD,Fertilizers & Agrochemicals
DHUNINV.NS,DHUNSERI INVESTMENTS LTD,Capital Markets
DIACABS.NS,DIAMOND POWER INFRA LTD,Industrial Manufacturing
DIAMINESQ.NS,DIAMINES & CHEMICALS LTD,Chemicals & Petrochemicals
DIAMONDYD.NS,PRATAAP SNACKS LIMITED,Food Products
DICIND.NS,DIC INDIA LIMITED,Chemicals & Petrochemicals
DIFFNKG.NS,DIFFUSION ENGINEERS LTD,Industrial Manufacturing
DIGIDRIVE.NS,DIGIDRIVE DISTRIBUTORS L,Retailing
DIGITIDE.NS,DIGITIDE SOLUTIONS LTD,Commercial Services & Supplies
DIGJAMLMTD.NS,DIGJAM LTD,Textiles & Apparels
DIVGIITTS.NS,DIVGI TORQTRANSFER SYST L,Auto Components
DIVISLAB.NS,DIVI S LABORATORIES LTD,Pharmaceuticals & Biotechnology
DIXON.NS,DIXON TECHNO (INDIA) LTD,Consumer Durables
DJML.NS,DJ MEDIAPRINT & LOG LTD,Commercial Services & Supplies
DLF.NS,DLF LIMITED,Realty
DLINKINDIA.NS,D-LINK INDIA LTD,Telecom - Equipment & Accessories
DMART.NS,AVENUE SUPERMARTS LIMITED,Retailing
DMCC.NS,DMCC SPECIALITY CHEMICALS,Chemicals & Petrochemicals
DNAMEDIA.NS,DILIGENT MEDIA CORP LTD.,Printing & Publication
DODLA.NS,DODLA DAIRY LIMITED,Food Products
DOLATALGO.NS,DOLAT ALGOTECH LIMITED,Capital Markets
DOLLAR.NS,DOLLAR INDUSTRIES LIMITED,Textiles & Apparels
DOLPHIN.NS,DOLPHIN OFF ENT (IND) L,Oil
DOMS.NS,DOMS INDUSTRIES LIMITED,Commercial Services & Supplies
DONEAR.NS,DONEAR IND. LIMITED,Textiles & Apparels
DPABHUSHAN.NS,D. P. ABHUSHAN LIMITED,Consumer Durables
DPWIRES.NS,D P WIRES LIMITED,Industrial Products
DRCSYSTEMS.NS,DRC SYSTEMS INDIA LIMITED,IT - Services
DREAMFOLKS.NS,DREAMFOLKS SERVICES LTD,Transport Infrastructure
DREDGECORP.NS,DREDGING CORP OF INDIA,Construction
DRREDDY.NS,DR. REDDY S LABORATORIES,Pharmaceuticals & Biotechnology
DSSL.NS,DYNACONS SYS & SOLN LTD,IT - Services
DTIL.NS,DHUNSERI TEA & IND. LTD.,Food Products
DVL.NS,DHUNSERI VENTURES LIMITED,Capital Markets
DWARKESH.NS,DWARIKESH SUGAR IND LTD,Food Products
DYCL.NS,DYNAMIC CABLES LIMITED,Electrical Equipment
DYNAMATECH.NS,DYNAMATIC TECHNOLOGIES,Auto Components
DYNPRO.NS,DYNEMIC PRODUCTS LIMITED,Chemicals & Petrochemicals
E2E.NS,E2E NETWORKS LIMITED,IT - Software
EASEMYTRIP.NS,EASY TRIP PLANNERS LTD,Leisure Services
EBGNG.NS,GNG ELECTRONICS LIMITED,IT - Hardware
ECLERX.NS,ECLERX SERVICES LTD,IT - Services
EDELWEISS.NS,EDELWEISS FIN SERV LTD,Finance
EFCIL.NS,EFC (I) LIMITED,Realty
EICHERMOT.NS,EICHER MOTORS LTD,Automobiles
EIDPARRY.NS,EID PARRY INDIA LTD,Fertilizers & Agrochemicals
EIEL.NS,ENVIRO INFRA ENGINEERS L,Construction
EIHAHOTELS.NS,EIH ASSOCIATED HOTELS LTD,Leisure Services
EIHOTEL.NS,EIH LIMITED,Leisure Services
EIMCOELECO.NS,EIMCO ELECON (INDIA) LTD,"Agricultural, Commercial & Construction Vehicles"
EKC.NS,EVEREST KANTO CYLINDERLTD,Industrial Manufacturing
ELANTAS.NS,ELANTAS BECK INDIA LTD.,Chemicals & Petrochemicals
ELDEHSG.NS,ELDECO HSG & IND LTD.,Realty
ELECON.NS,ELECON ENG. CO. LTD,Industrial Manufacturing
ELECTCAST.NS,ELECTROSTEEL CASTINGS LTD,Other Construction Materials
ELECTHERM.NS,ELECTROTHERM (I) LTD.,Ferrous Metals
ELGIEQUIP.NS,ELGI EQUIPMENTS LTD,Industrial Manufacturing
ELGIRUBCO.NS,ELGI RUBBER CO. LTD,Auto Components
ELIN.NS,ELIN ELECTRONICS LIMITED,Electrical Equipment
ELLEN.NS,ELLENBARRIE INDUS GASES L,Chemicals & Petrochemicals
ELPROINTL.NS,ELPRO INTERNATIONAL LTD,Realty
EMAMILTD.NS,EMAMI LIMITED,Personal Products
EMAMIPAP.NS,EMAMI PAPER MILLS LIMITED,"Paper, Forest & Jute Products"
EMBDL.NS,EMBASSY DEVELOPMENTS LTD,Realty
EMCURE.NS,EMCURE PHARMACEUTICALS L,Pharmaceuticals & Biotechnology
EMIL.NS,ELECTRONICS MART IND LTD,Retailing
EMKAY.NS,EMKAY GLOBAL FIN SERV LTD,Capital Markets
EMMBI.NS,EMMBI INDUSTRIES LIMITED,Industrial Products
EMMVEE.NS,EMMVEE PHOTOVOLTAIC PWR L,Power
EMSLIMITED.NS,EMS LIMITED,Construction
EMUDHRA.NS,EMUDHRA LIMITED,IT - Software
ENDURANCE.NS,ENDURANCE TECHNO. LTD.,Auto Components
ENERGYDEV.NS,ENERGY DEVE. CO.LTD,Power
ENGINERSIN.NS,ENGINEERS INDIA LTD,Construction
ENIL.NS,ENTERTAIN NET. IND. LTD.,Media
ENRIN.NS,SIEMENS ENERGY INDIA LTD,Power
ENTERO.NS,ENTERO HEALTHCARE SOLU L,Healthcare Services
EPACK.NS,EPACK DURABLE LIMITED,Consumer Durables
EPACKPEB.NS,EPACK PREFAB TECHN LTD,Construction
EPIGRAL.NS,EPIGRAL LIMITED,Chemicals & Petrochemicals
EPL.NS,EPL LIMITED,Industrial Products
EQUITASBNK.NS,EQUITAS SMALL FIN BNK LTD,Banks
ERIS.NS,ERIS LIFESCIENCES LIMITED,Pharmaceuticals & Biotechnology
ESABINDIA.NS,ESAB INDIA LTD,Industrial Products
ESAFSFB.NS,ESAF SMALL FINANCE BANK L,Banks
ESCORTS.NS,ESCORTS KUBOTA LIMITED,"Agricultural, Commercial & Construction Vehicles"
ESSARSHPNG.NS,ESSAR SHIPPING LTD,Transport Services
ESTER.NS,ESTER INDUSTRIES LTD,Chemicals & Petrochemicals
ETERNAL.NS,ETERNAL LIMITED,Retailing
ETHOSLTD.NS,ETHOS LIMITED,Consumer Durables
EUREKAFORB.NS,EUREKA FORBES LIMITED,Consumer Durables
EUROBOND.NS,EURO PANEL PRODUCTS LTD,Other Construction Materials
EUROPRATIK.NS,EURO PRATIK SALES LIMITED,Other Construction Materials
EVEREADY.NS,EVEREADY INDS. IND.  LTD.,Electrical Equipment
EVERESTIND.NS,EVEREST INDUSTRIES LTD,Other Construction Materials
EXCELINDUS.NS,EXCEL INDUSTRIES LTD,Chemicals & Petrochemicals
EXCELSOFT.NS,EXCELSOFT TECHNOLOGIES L,IT - Software
EXICOM.NS,EXICOM TELE SYSTEMS LTD,Electrical Equipment
EXIDEIND.NS,EXIDE INDUSTRIES LTD,Auto Components
EXPLEOSOL.NS,EXPLEO SOLUTIONS LIMITED,IT - Services
EXXARO.NS,EXXARO TILES LIMITED,Other Construction Materials
FABTECH.NS,FABTECH TECHNOLOGIES LTD,Healthcare Services
FACT.NS,FACT LTD,Fertilizers & Agrochemicals
FAIRCHEMOR.NS,FAIRCHEM ORGANICS LIMITED,Chemicals & Petrochemicals
FAZE3Q.NS,FAZE THREE LIMITED,Textiles & Apparels
FCL.NS,FINEOTEX CHEMICAL LIMITED,Chemicals & Petrochemicals
FDC.NS,FDC LIMITED,Pharmaceuticals & Biotechnology
FEDERALBNK.NS,FEDERAL BANK LTD,Banks
FEDFINA.NS,FEDBANK FINANCIAL SER L,Finance
FIBERWEB.NS,FIBERWEB INDIA LIMITED,Textiles & Apparels
FIEMIND.NS,FIEM INDUSTRIES LIMITED,Auto Components
FILATEX.NS,FILATEX INDIA LTD,Textiles & Apparels
FINCABLES.NS,FINOLEX CABLES LTD,Electrical Equipment
FINEORG.NS,FINE ORGANIC IND. LTD.,Chemicals & Petrochemicals
FINKURVE.NS,FINKURVE FINANCIAL SERV L,Finance
FINOPB.NS,FINO PAYMENTS BANK LTD,Banks
FINPIPE.NS,FINOLEX INDUSTRIES LTD,Other Construction Materials
FIRSTCRY.NS,BRAINBEES SOLUTIONS LTD,Retailing
FISCHER.NS,FISCHER MEDICAL VENTURE L,Healthcare Equipment & Supplies
FIVESTAR.NS,FIVE-STAR BUS FIN LTD,Finance
FLAIR.NS,FLAIR WRITING INDUST LTD,Commercial Services & Supplies
FLUOROCHEM.NS,GUJARAT FLUOROCHEM LTD,Chemicals & Petrochemicals
FMGOETZE.NS,FEDERAL-MOGUL GOETZE (IND,Auto Components
FOCUS.NS,FOCUS LIGHTG & FIXTRS LTD,Consumer Durables
FOODSIN.NS,FOODS & INNS LIMITED,Food Products
FORCEMOT.NS,FORCE MOTORS LIMITED,Automobiles
FORTIS.NS,FORTIS HEALTHCARE LTD,Healthcare Services
FOSECOIND.NS,FOSECO INDIA LTD,Chemicals & Petrochemicals
FRACTAL.NS,FRACTAL ANALYTICS LIMITED,IT - Software
FSL.NS,FIRSTSOURCE SOLU. LTD.,IT - Services
FUSION.NS,FUSION FINANCE LIMITED,Finance
GABRIEL.NS,GABRIEL INDIA LTD,Auto Components
GAEL.NS,GUJARAT AMBUJA EXPORTS LT,Food Products
GAIL.NS,GAIL (INDIA) LTD,Gas
GALAPREC.NS,GALA PRECISION ENG LTD,Industrial Manufacturing
GALAXYSURF.NS,GALAXY SURFACTANTS LTD,Chemicals & Petrochemicals
GALLANTT.NS,GALLANTT ISPAT LIMITED,Ferrous Metals
GANDHAR.NS,GANDHAR OIL REFINE IND L,Petroleum Products
GANDHITUBE.NS,GANDHI SPL. TUBES LTD,Industrial Products
GANECOS.NS,GANESHA ECOSPHERE LIMITED,Textiles & Apparels
GANESHBE.NS,GANESH BENZOPLAST LIMITED,Chemicals & Petrochemicals
GANESHCP.NS,GANESH CONSUMER PRODUCT L,Food Products
GANESHHOU.NS,GANESH HOUSING LIMITED,Realty
GANGAFORGE.NS,GANGA FORGING LIMITED,Industrial Products
GANGESSECU.NS,GANGES SECURITIES LIMITED,Food Products
GARFIBRES.NS,GARWARE TECH FIBRES LTD,Textiles & Apparels
GARUDA.NS,GARUDA CONSTRUCT N ENG L,Construction
GATECH.NS,GACM TECHNOLOGIES LIMITED,Capital Markets
GATECHDVR.NS,GACM TECHNOLOGIES LIMITED,Capital Markets
GATEWAY.NS,GATEWAY DISTRIPARKS LTD,Transport Services
GAYAHWS.NS,GAYATRI HIGHWAYS LIMITED,Construction
GCSL.NS,GRETEX CORPORATE SERVICES,Capital Markets
GEECEE.NS,GEECEE VENTURES LIMITED,Realty
GEEKAYWIRE.NS,GEEKAY WIRES LIMITED,Electrical Equipment
GEMAROMA.NS,GEM AROMATICS LIMITED,Chemicals & Petrochemicals
GENCON.NS,GENERIC ENG CONS PROJ LTD,Construction
GENESYS.NS,GENESYS INTL CORPN LTD,IT - Software
GENUSPAPER.NS,GENUS P&B LIMITED,"Paper, Forest & Jute Products"
GENUSPOWER.NS,GENUS POWER INFRASTRU LTD,Electrical Equipment
GEOJITFSL.NS,GEOJIT FINANCIAL SER L,Capital Markets
GESHIP.NS,THE GE SHPG.LTD,Transport Services
GFLLIMITED.NS,GFL LIMITED,Capital Markets
GHCL.NS,GHCL LIMITED,Chemicals & Petrochemicals
GHCLTEXTIL.NS,GHCL TEXTILES LIMITED,Textiles & Apparels
GICHSGFIN.NS,GIC HOUSING FINANCE LTD,Finance
GICL.NS,GLOBE INTL CARRIERS LTD,Transport Services
GICRE.NS,GENERAL INS CORP OF INDIA,Insurance
GILLANDERS.NS,GILLANDERS ARBUTHNOT LTD,Agricultural Food & other Products
GILLETTE.NS,GILLETTE INDIA LTD,Personal Products
GINNIFILA.NS,GINNI FILAMENTS LTD,Textiles & Apparels
GIPCL.NS,GUJ IND POW CO. LTD,Power
GKENERGY.NS,GK ENERGY LIMITED,Power
GKSL.NS,GUJARAT KIDNEY N SUP SP L,Healthcare Services
GKWLIMITED.NS,GKW LIMITED,Commercial Services & Supplies
GLAND.NS,GLAND PHARMA LIMITED,Pharmaceuticals & Biotechnology
GLAXO.NS,GLAXOSMITHKLINE PHARMA LT,Pharmaceuticals & Biotechnology
GLENMARK.NS,GLENMARK PHARMACEUTICALS,Pharmaceuticals & Biotechnology
GLOBAL.NS,GLOBAL EDUCATION LIMITED,Other Consumer Services
GLOBALVECT.NS,GLOBAL VEC HELICORP LTD,Transport Infrastructure
GLOBE.NS,GLOBE ENTERPRISE (I) LTD,Textiles & Apparels
GLOBUSSPR.NS,GLOBUS SPIRITS LTD,Beverages
GLOSTERLTD.NS,GLOSTER LIMITED,Textiles & Apparels
GMBREW.NS,G M BREWERIES LTD,Beverages
GMDCLTD.NS,GUJARAT MINERAL DEV CORP,Consumable Fuels
GMMPFAUDLR.NS,GMM PFAUDLER LIMITED,Industrial Manufacturing
GMRAIRPORT.NS,GMR AIRPORTS LIMITED,Transport Infrastructure
GMRP&UI.NS,GMR POW AND URBAN INFRA L,Consumable Fuels
GNA.NS,GNA AXLES LIMITED,Auto Components
GNFC.NS,GUJ NAR VAL FER & CHEM L,Chemicals & Petrochemicals
GOACARBON.NS,GOA CARBON LIMITED,Chemicals & Petrochemicals
GOCLCORP.NS,GOCL CORPORATION LIMITED,Chemicals & Petrochemicals
GOCOLORS.NS,GO FASHION INDIA LTD,Retailing
GODAVARIB.NS,GODAVARI BIOREFINERIES L,Chemicals & Petrochemicals
GODFRYPHLP.NS,GODFREY PHILLIPS INDIA LT,Cigarettes & Tobacco Products
GODIGIT.NS,GO DIGIT GENERAL INS LTD,Insurance
GODREJAGRO.NS,GODREJ AGROVET LIMITED,Food Products
GODREJCP.NS,GODREJ CONSUMER PRODUCTS,Personal Products
GODREJIND.NS,GODREJ INDUSTRIES LTD,Diversified
GODREJPROP.NS,GODREJ PROPERTIES LTD,Realty
GOKEX.NS,GOKALDAS EXPORTS LTD.,Textiles & Apparels
GOKUL.NS,GOKUL REFOILS & SOLV LTD,Food Products
GOKULAGRO.NS,GOKUL AGRO RESOURCES LTD,Food Products
GOLDIAM.NS,GOLDIAM INTERNATIONAL LTD,Consumer Durables
GOLDTECH.NS,AION-TECH SOLUTIONS LTD,IT - Services
GOODLUCK.NS,GOODLUCK INDIA LIMITED,Ferrous Metals
GOODYEAR.NS,GOODYEAR INDIA LIMITED,Auto Components
GOPAL.NS,GOPAL SNACKS LIMITED,Food Products
GOYALALUM.NS,GOYAL ALUMINIUMS LIMITED,Non - Ferrous Metals
GPIL.NS,GODAWARI POW & ISP LTD,Ferrous Metals
GPPL.NS,GUJARAT PIPAVAV PORT LTD,Transport Services
GPTHEALTH.NS,GPT HEALTHCARE LIMITED,Healthcare Services
GPTINFRA.NS,GPT INFRAPROJECTS LTD,Construction
GRADIENTE.NS,GRADIENTE INFOTAINMENT L,Entertainment
GRANULES.NS,GRANULES INDIA LIMITED,Pharmaceuticals & Biotechnology
GRAPHITE.NS,GRAPHITE INDIA LTD,Electrical Equipment
GRASIM.NS,GRASIM INDUSTRIES LTD,Other Construction Materials
GRAUWEIL.NS,GRAUER & WEIL IND LTD,Chemicals & Petrochemicals
GRAVITA.NS,GRAVITA INDIA LIMITED,Industrial Products
GREAVESCOT.NS,GREAVES COTTON LTD.,Industrial Manufacturing
GREENLAM.NS,GREENLAM INDUSTRIES LTD.,Consumer Durables
GREENPANEL.NS,GREENPANEL INDUSTRIES LTD,"Paper, Forest & Jute Products"
GREENPLY.NS,GREENPLY INDUSTRIES LTD,"Paper, Forest & Jute Products"
GREENPOWER.NS,ORIENT GREEN POWER CO LTD,Power
GRINDWELL.NS,GRINDWELL NORTON LIMITED,Other Construction Materials
GRINFRA.NS,G R INFRAPROJECTS LIMITED,Construction
GRMOVER.NS,GRM OVERSEAS LIMITED,Food Products
GROBTEA.NS,THE GROB TEA COMPANY LTD,Agricultural Food & other Products
GROWW.NS,BILLIONBRAINS GARAGE VN L,Capital Markets
GRPLTD.NS,GRP LIMITED,Auto Components
GRSE.NS,GARDEN REACH SHIP&ENG LTD,Aerospace & Defense
GRWRHITECH.NS,GARWARE HI-TECH FILMS LTD,Chemicals & Petrochemicals
GSFC.NS,GUJ STATE FERT & CHEM LTD,Fertilizers & Agrochemicals
GSLSU.NS,GLOBAL SURFACES LIMITED,Other Construction Materials
GSPCROP.NS,GSP CROP SCIENCE LIMITED,Fertilizers & Agrochemicals
GTL.NS,GTL LTD,Telecom - Services
GTLINFRA.NS,GTL INFRA.LTD,Telecom - Equipment & Accessories
GTPL.NS,GTPL HATHWAY LIMITED,Entertainment
GUFICBIO.NS,GUFIC BIOSCIENCES LTD.,Pharmaceuticals & Biotechnology
GUJALKALI.NS,GUJARAT ALKALIES & CHEM,Chemicals & Petrochemicals
GUJAPOLLO.NS,GUJ. APOLLO IND. LTD.,Industrial Manufacturing
GUJTHEM.NS,GUJARAT THEMIS BIOSYN LTD,Pharmaceuticals & Biotechnology
GULFOILLUB.NS,GULF OIL LUB. IND. LTD.,Chemicals & Petrochemicals
GULPOLY.NS,GULSHAN POLYOLS LIMITED,Chemicals & Petrochemicals
GVPIL.NS,GE POWER INDIA LIMITED,Construction
GVPTECH.NS,GVP INFOTECH LIMITED,IT - Services
GVT&D.NS,GE VERNOVA T&D INDIA LTD,Industrial Manufacturing
HAL.NS,HINDUSTAN AERONAUTICS LTD,Aerospace & Defense
HALDER.NS,HALDER VENTURE LIMITED,Agricultural Food & other Products
HALEOSLABS.NS,HALEOS LABS LIMITED,Pharmaceuticals & Biotechnology
HAPPSTMNDS.NS,HAPPIEST MINDS TECHNO LTD,IT - Services
HAPPYFORGE.NS,HAPPY FORGINGS LIMITED,Industrial Products
HARDWYN.NS,HARDWYN INDIA LIMITED,Other Construction Materials
HARIOMPIPE.NS,HARIOM PIPE INDUSTRIES L,Ferrous Metals
HARRMALAYA.NS,HARRISON MALAYALAM LTD,Agricultural Food & other Products
HARSHA.NS,HARSHA ENGINEERS INT LTD,Industrial Products
HATHWAY.NS,HATHWAY CABLE & DATACOM,Entertainment
HATSUN.NS,HATSUN AGRO PRODUCT LTD.,Food Products
HAVELLS.NS,HAVELLS INDIA LIMITED,Electrical Equipment
HAVISHA.NS,SRI HAVISHA HOSP & INFR L,Leisure Services
HBLENGINE.NS,HBL ENGINEERING LTD,Electrical Equipment
HCC.NS,HINDUSTAN CONSTRUCTION CO,Construction
HCG.NS,HEALTHCARE GLOB. ENT. LTD,Healthcare Services
HCL-INSYS.NS,HCL INFOSYSTEMS LTD,IT - Hardware
HCLTECH.NS,HCL TECHNOLOGIES LTD,IT - Services
HDBFS.NS,HDB FINANCIAL SERVICES L,Finance
HDFCAMC.NS,HDFC AMC LIMITED,Capital Markets
HDFCBANK.NS,HDFC BANK LTD,Banks
HDFCLIFE.NS,HDFC LIFE INS CO LTD,Insurance
HEADSUP.NS,HEADS UP VENTURES LIMITED,Retailing
HEALTHX.NS,HEALTH X PLATFORM LIMITED,Retailing
HECPROJECT.NS,HEC INFRA PROJECTS LTD,Construction
HEG.NS,HEG LTD,Electrical Equipment
HEIDELBERG.NS,HEIDELBERGCEMENT (I) LTD,Other Construction Materials
HEMIPROP.NS,HEMISPHERE PROP IND LTD,Realty
HERANBA.NS,HERANBA INDUSTRIES LTD,Fertilizers & Agrochemicals
HERITGFOOD.NS,HERITAGE FOODS LTD,Food Products
HEROMOTOCO.NS,HERO MOTOCORP LIMITED,Automobiles
HESTERBIO.NS,HESTER BIOSCIENCES LTD,Pharmaceuticals & Biotechnology
HEXATRADEX.NS,HEXA TRADEX LIMITED,Finance
HEXT.NS,HEXAWARE TECHNOLOGIES LTD,IT - Services
HFCL.NS,HFCL LIMITED,Telecom - Equipment & Accessories
HGINFRA.NS,H.G.INFRA ENGINEERING LTD,Construction
HGM.NS,HANDSON GBL MNGMNT LTD,IT - Services
HGS.NS,HINDUJA GLOBAL SOLS. LTD.,Commercial Services & Supplies
HIKAL.NS,HIKAL LIMITED,Pharmaceuticals & Biotechnology
HIMATSEIDE.NS,HIMATSINGKA SEIDE LTD,Textiles & Apparels
HINDALCO.NS,HINDALCO  INDUSTRIES  LTD,Non - Ferrous Metals
HINDCOMPOS.NS,HINDUSTAN COMPOSITES LTD.,Auto Components
HINDCOPPER.NS,HINDUSTAN COPPER LTD,Non - Ferrous Metals
HINDOILEXP.NS,HINDUSTAN OIL EXPLORATION,Oil
HINDPETRO.NS,HINDUSTAN PETROLEUM CORP,Petroleum Products
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Personal Products
HINDWAREAP.NS,HINDWARE HME INOVATON LTD,Consumer Durables
HINDZINC.NS,HINDUSTAN ZINC LIMITED,Minerals & Mining
HIRECT.NS,HIND RECTIFIER LIMITED,Electrical Equipment
HISARMETAL.NS,HISAR METAL IND. LIMITED,Ferrous Metals
HITECH.NS,HI-TECH PIPES LIMITED,Ferrous Metals
HLEGLAS.NS,HLE GLASCOAT LIMITED,Industrial Manufacturing
HLVLTD.NS,HLV LIMITED,Leisure Services
HMAAGRO.NS,HMA AGRO INDUSTRIES LTD,Food Products
HMVL.NS,HINDUSTAN MEDIA VENT LTD,Printing & Publication
HNDFDS.NS,HINDUSTAN FOODS LIMITED,Diversified
HOMEFIRST.NS,HOME FIRST FIN CO IND LTD,Finance
HONASA.NS,HONASA CONSUMER LIMITED,Personal Products
HONAUT.NS,HONEYWELL AUTOMATION IND,Electrical Equipment
HONDAPOWER.NS,HONDA I POWER PRODUCT LTD,Industrial Manufacturing
HPAL.NS,HP ADHESIVES LIMITED,Chemicals & Petrochemicals
HPIL.NS,HINDPRAKASH INDUSTRY LTD,Chemicals & Petrochemicals
HPL.NS,HPL ELECTRIC & POWER LTD,Electrical Equipment
HSCL.NS,HIMADRI SPECIALITY CHEM L,Chemicals & Petrochemicals
HTMEDIA.NS,HT MEDIA LIMITED,Printing & Publication
HUDCO.NS,HSG & URBAN DEV CORPN LTD,Finance
HUHTAMAKI.NS,HUHTAMAKI INDIA LIMITED,Industrial Products
HYUNDAI.NS,HYUNDAI MOTOR INDIA LTD,Automobiles
ICDSLTD.NS,ICDS LTD,Realty
ICEMAKE.NS,ICE MAKE REFRIGERAT LTD,Industrial Manufacturing
ICICIAMC.NS,ICICI PRUDENTIAL AMC LTD,Capital Markets
ICICIBANK.NS,ICICI BANK LTD.,Banks
ICICIGI.NS,ICICI LOMBARD GIC LIMITED,Insurance
ICICIPRULI.NS,ICICI PRU LIFE INS CO LTD,Insurance
ICIL.NS,INDO COUNT INDUSTRIES LTD,Textiles & Apparels
ICRA.NS,ICRA LIMITED,Capital Markets
IDBI.NS,IDBI BANK LIMITED,Banks
IDEA.NS,VODAFONE IDEA LIMITED,Telecom - Services
