date,value,mode
2016-09-14,1219163.3167126845,LEAP
2016-09-15,1219793.231253929,LEAP
2016-09-16,1216521.6994031142,LEAP
2016-09-19,1230098.8161328505,LEAP
2016-09-20,1226681.5504906843,LEAP
2016-09-21,1236002.8091805647,LEAP
2016-09-22,1261653.032155342,LEAP
2016-09-23,1264257.5042584608,LEAP
2016-09-26,1254499.212735481,LEAP
2016-09-27,1247875.4475758742,LEAP
2016-09-28,1274667.3130658339,LEAP
2016-09-29,1225979.8799570273,FROG
2016-09-30,1223672.8535593222,FROG
2016-10-03,1230691.9745004843,LEAP
2016-10-04,1231958.1661203573,LEAP
2016-10-05,1232789.564008541,LEAP
2016-10-06,1232088.9165170859,LEAP
2016-10-07,1227402.2413745688,FROG
2016-10-10,1228515.4031482504,LEAP
2016-10-13,1222480.3667578697,FROG
2016-10-14,1224064.573331356,FROG
2016-10-17,1219547.9275458334,FROG
2016-10-18,1225975.5466254232,FROG
2016-10-19,1224551.0371191977,FROG
2016-10-20,1225410.3359625814,FROG
2016-10-21,1227881.330133724,FROG
2016-10-24,1227050.1837561605,FROG
2016-10-25,1222040.3961218833,FROG
2016-10-26,1224583.9133337974,FROG
2016-10-27,1225054.5564917563,FROG
2016-10-28,1225391.2334326743,FROG
2016-11-01,1220675.9875220298,FROG
2016-11-02,1216283.4270148277,FROG
2016-11-03,1216367.985364437,FROG
2016-11-04,1218460.9150366783,FROG
2016-11-07,1216616.5833940697,FROG
2016-11-08,1213575.3070747948,FROG
2016-11-09,1205884.8416512108,FROG
2016-11-10,1212646.4235451317,FROG
2016-11-11,1196321.3259798242,FROG
2016-11-15,1185820.2671336937,FROG
2016-11-16,1184178.6733043483,FROG
2016-11-17,1184596.7316081813,FROG
2016-11-18,1181605.5874693873,FROG
2016-11-21,1178337.3708098414,FROG
2016-11-22,1182080.97427969,FROG
2016-11-23,1186072.1052306178,FROG
2016-11-24,1185805.3055022242,FROG
2016-11-25,1190286.5546019557,FROG
2016-11-28,1195202.070776272,FROG
2016-11-29,1194619.5527861598,FROG
2016-11-30,1197755.7232115748,FROG
2016-12-01,1198491.1564085963,FROG
2016-12-02,1194154.9254210475,FROG
2016-12-05,1199501.500189114,FROG
2016-12-06,1195728.2872374537,FROG
2016-12-07,1193830.8281004908,FROG
2016-12-08,1199515.3544066432,FROG
2016-12-09,1199936.511941128,FROG
2016-12-12,1193924.05475729,FROG
2016-12-13,1196668.326317959,FROG
2016-12-14,1191946.8171932031,FROG
2016-12-15,1187045.8372127344,FROG
2016-12-16,1185010.9006770898,FROG
2016-12-19,1182988.8904857445,FROG
2016-12-20,1183889.4181804466,FROG
2016-12-21,1178635.7622051048,FROG
2016-12-22,1173030.7030372429,FROG
