Period_10Y,Sector,Month,Month_Name_10Y,Avg%_10Y,Median%_10Y,StdDev%_10Y,Win%_10Y,Best%_10Y,Worst%_10Y,Alpha%_10Y,Consistency%_10Y,Score_10Y,N_Years_10Y,Period_15Y,Month_Name_15Y,Avg%_15Y,Median%_15Y,StdDev%_15Y,Win%_15Y,Best%_15Y,Worst%_15Y,Alpha%_15Y,Consistency%_15Y,Score_15Y,N_Years_15Y,Both_Positive,Both_Negative
10Y,Electrodes & Refractories,7,Jul,6.35,7.54,12.98,70.0,25.56,-17.66,3.27,60.0,2.665,10,15Y,Jul,3.56,4.3,11.88,57.0,25.56,-17.66,1.31,79.0,1.601,14,True,False
10Y,Passenger Cars & Utility Vehicles,4,Apr,6.25,7.06,9.98,80.0,28.88,-8.13,3.1,70.0,3.501,10,15Y,Apr,6.11,7.4,9.1,73.0,28.88,-8.13,4.12,73.0,3.287,15,True,False
10Y,Exchange and Data Platform,10,Oct,6.03,7.31,8.06,67.0,17.48,-6.28,5.05,67.0,2.68,9,15Y,Oct,6.03,7.31,8.06,67.0,17.48,-6.28,5.05,67.0,2.68,9,True,False
10Y,Holding Company,4,Apr,6.0,5.66,4.77,90.0,13.26,-3.95,2.84,80.0,4.319,10,15Y,Apr,5.16,5.24,4.33,87.0,13.26,-3.95,3.17,73.0,3.278,15,True,False
10Y,Consumer Electronics,11,Nov,6.0,5.57,9.0,67.0,24.85,-3.13,3.35,78.0,3.112,9,15Y,Nov,6.0,5.57,9.0,67.0,24.85,-3.13,3.35,78.0,3.112,9,True,False
10Y,Consumer Electronics,8,Aug,5.87,8.16,8.33,75.0,15.7,-11.18,4.08,75.0,3.3,8,15Y,Aug,5.87,8.16,8.33,75.0,15.7,-11.18,4.08,75.0,3.3,8,True,False
10Y,Passenger Cars & Utility Vehicles,6,Jun,5.79,3.88,9.3,80.0,24.96,-8.14,4.19,80.0,3.703,10,15Y,Jun,4.68,3.29,7.72,87.0,24.96,-8.14,2.78,80.0,3.243,15,True,False
10Y,Electrodes & Refractories,12,Dec,5.74,8.57,9.91,70.0,18.39,-11.41,4.19,60.0,2.41,10,15Y,Dec,5.28,7.04,9.06,71.0,18.39,-11.41,4.24,64.0,2.424,14,True,False
10Y,Consumer Electronics,9,Sep,5.62,5.75,13.42,78.0,31.24,-19.06,5.71,78.0,3.402,9,15Y,Sep,5.62,5.75,13.42,78.0,31.24,-19.06,5.71,78.0,3.402,9,True,False
10Y,Cables - Electricals,9,Sep,5.62,4.5,7.76,86.0,14.31,-6.27,4.62,57.0,2.753,7,15Y,Sep,5.62,4.5,7.76,86.0,14.31,-6.27,4.62,57.0,2.753,7,True,False
10Y,Cables - Electricals,11,Nov,5.38,2.14,8.2,57.0,14.79,-2.71,2.49,71.0,2.196,7,15Y,Nov,5.38,2.14,8.2,57.0,14.79,-2.71,2.49,71.0,2.196,7,True,False
10Y,Iron & Steel Products,10,Oct,5.23,4.1,6.97,80.0,19.73,-3.71,4.32,70.0,2.927,10,15Y,Oct,4.29,2.32,6.1,80.0,19.73,-3.71,2.21,80.0,2.744,15,True,False
10Y,Iron & Steel Products,12,Dec,5.22,4.94,6.98,80.0,22.52,-2.84,3.68,80.0,3.341,10,15Y,Dec,3.63,1.97,7.31,67.0,22.52,-7.85,2.95,80.0,1.936,15,True,False
10Y,Exchange and Data Platform,7,Jul,5.18,6.02,12.8,75.0,19.65,-18.76,2.59,75.0,2.915,8,15Y,Jul,5.18,6.02,12.8,75.0,19.65,-18.76,2.59,75.0,2.915,8,True,False
10Y,Industrial Products,7,Jul,5.06,4.23,6.96,67.0,12.4,-1.44,3.75,67.0,2.25,3,15Y,Jul,5.06,4.23,6.96,67.0,12.4,-1.44,3.75,67.0,2.25,3,True,False
10Y,Industrial Minerals,10,Oct,5.02,4.36,9.93,70.0,22.3,-8.99,4.11,70.0,2.459,10,15Y,Oct,5.4,4.38,8.51,73.0,22.3,-8.99,3.32,67.0,2.639,15,True,False
10Y,Exchange and Data Platform,11,Nov,4.96,2.58,9.84,67.0,28.11,-5.57,2.31,78.0,2.574,9,15Y,Nov,4.96,2.58,9.84,67.0,28.11,-5.57,2.31,78.0,2.574,9,True,False
10Y,IT Enabled Services,9,Sep,4.86,5.24,7.27,71.0,13.62,-4.38,3.86,43.0,1.487,7,15Y,Sep,4.86,5.24,7.27,71.0,13.62,-4.38,3.86,43.0,1.487,7,True,False
10Y,Cables - Electricals,4,Apr,4.82,4.55,5.99,86.0,11.0,-4.84,1.61,71.0,2.953,7,15Y,Apr,4.82,4.55,5.99,86.0,11.0,-4.84,1.61,71.0,2.953,7,True,False
10Y,Passenger Cars & Utility Vehicles,7,Jul,4.77,4.38,7.59,90.0,14.48,-12.02,1.7,70.0,3.006,10,15Y,Jul,3.5,3.22,6.69,87.0,14.48,-12.02,1.59,67.0,2.021,15,True,False
10Y,IT Enabled Services,6,Jun,4.74,5.27,7.78,67.0,14.3,-5.36,1.94,67.0,2.104,6,15Y,Jun,4.74,5.27,7.78,67.0,14.3,-5.36,1.94,67.0,2.104,6,True,False
10Y,Industrial Minerals,7,Jul,4.58,5.6,9.01,80.0,15.99,-14.64,1.5,70.0,2.565,10,15Y,Jul,2.24,2.23,8.35,60.0,15.99,-14.64,0.34,67.0,0.897,15,True,False
10Y,IT Enabled Services,12,Dec,4.4,1.74,8.22,71.0,17.1,-6.75,2.53,57.0,1.797,7,15Y,Dec,4.4,1.74,8.22,71.0,17.1,-6.75,2.53,57.0,1.797,7,True,False
10Y,Depositories Clearing Houses and Other Intermediaries,9,Sep,4.3,2.28,4.97,100.0,9.96,0.65,2.62,67.0,2.864,3,15Y,Sep,4.3,2.28,4.97,100.0,9.96,0.65,2.62,67.0,2.864,3,True,False
10Y,Aerospace & Defense,7,Jul,4.17,7.62,10.35,75.0,14.78,-13.52,1.58,62.0,1.956,8,15Y,Jul,4.17,7.62,10.35,75.0,14.78,-13.52,1.58,62.0,1.956,8,True,False
10Y,Stockbroking & Allied,3,Mar,4.15,4.89,3.68,80.0,7.71,-2.07,1.49,80.0,2.657,5,15Y,Mar,4.15,4.89,3.68,80.0,7.71,-2.07,1.49,80.0,2.657,5,True,False
10Y,Aerospace & Defense,11,Nov,4.14,2.8,6.71,62.0,14.79,-3.34,1.02,62.0,1.617,8,15Y,Nov,4.14,2.8,6.71,62.0,14.79,-3.34,1.02,62.0,1.617,8,True,False
10Y,Exchange and Data Platform,9,Sep,4.12,4.58,10.2,62.0,16.54,-10.37,4.05,62.0,1.611,8,15Y,Sep,4.12,4.58,10.2,62.0,16.54,-10.37,4.05,62.0,1.611,8,True,False
