Strategy,Years,CAGR,Max DD,Win Rate,Avg Win,Avg Loss,Median Win,Median Loss,Max Win,Avg Hold (Days),Entry Trend,Entry RSI,Stop Exit %
DNA3-V2.1,1,13.463528926620349,-10.317993333993632,63.41463414634146,14.229564661382028,-12.176833523800601,6.517692220591295,-15.500351979159676,64.19254478188816,53.292682926829265,99.7560975609756,64.72406912862596,100.0
DNA4-C,1,17.148624251610233,-9.650825920672684,68.18181818181817,10.951648864314562,-12.201633271511422,6.198590816979328,-12.536788450322826,67.96423323052785,31.651515151515152,73.25757575757575,36.3037182410428,57.57575757575758
DNA3-V2.1,3,42.75210815913913,-25.55314337074332,64.08450704225352,26.373471403710326,-13.49796357348068,14.894689416327406,-15.769158055803475,231.6255049683364,50.00704225352113,99.92957746478874,63.224415487006155,100.0
DNA4-C,3,47.56630930794587,-23.936953801707116,69.38775510204081,19.16059692033032,-12.12694344546859,8.4205992315146,-12.710663862596366,153.4743179676959,35.91836734693877,78.29081632653062,36.12585605322826,60.71428571428571
DNA3-V2.1,5,41.42165072130011,-27.41265185986263,61.29032258064516,26.21184406173244,-12.379211203431865,17.231404892710927,-15.598629264697166,189.54871061559894,48.67338709677419,99.95967741935483,62.55109084163839,100.0
DNA4-C,5,38.126462793047125,-25.996412885217712,68.75,15.95219461449699,-12.068965069055126,7.602218327475758,-12.484550240113741,153.4743179676959,32.625,78.00271739130434,35.81481188592215,58.69565217391305
DNA3-V2.1,10,33.20958086631738,-33.62532052616763,62.360801781737194,24.813346624289846,-13.540284743844145,14.144381271598691,-15.771479810209646,189.54871061559894,54.055679287305125,99.64365256124722,61.53776500961267,100.0
DNA4-C,10,20.09922140716023,-47.290544470794735,65.13056835637481,14.972882473956142,-12.916411471590207,7.779444316562277,-13.062980331521773,221.69460864945,37.2073732718894,76.58986175115207,33.873068731345654,61.904761904761905
