ticker,period,return,type,sector,beta,corr,volatility,rs_score,adx,dd,vol_trend,vol_cv,atr_pct,price
GMDCLTD.NS,2022_BEAR,83.14150034807096,Steady (30-100%),Industrial Minerals,0.9615895014460223,0.40142616559123123,37.17912790177771,-3.813877974075372,25.904757964472697,-6.482999487903092,0.7869437411912631,0.6507730879809147,"0    4.067122
Name: 2022-01-03 00:00:00, dtype: float64",65.84490966796875
VBL.NS,2022_BEAR,34.78347598787331,Steady (30-100%),Other Beverages,1.1734442032053989,0.44434699711915515,40.98787062958863,-3.649533001299156,18.45056218432714,-12.45335723870026,0.4845750236872216,0.37591868327930034,"0    3.092424
Name: 2022-01-03 00:00:00, dtype: float64",116.23247528076172
ATGL.NS,2022_BEAR,37.22330523966541,Steady (30-100%),LPG/CNG/PNG/LNG Supplier,0.9923549966279518,0.3799721629918134,40.53502471130169,24.057449052500957,23.571796765854685,-10.3559999042577,0.7694272310725062,0.6170141794078544,"0    5.416127
Name: 2022-01-03 00:00:00, dtype: float64",1741.8565673828125
RHIM.NS,2022_BEAR,35.632193940525156,Steady (30-100%),Electrodes & Refractories,0.2924481351201726,0.1768313210137996,25.66875633704504,4.49612161337555,43.139735127425475,-7.062895849462664,0.5259062909947844,1.0226067561728795,"0    3.242538
Name: 2022-01-03 00:00:00, dtype: float64",363.6268005371094
CGCL.NS,2022_BEAR,33.94389496431548,Steady (30-100%),Non Banking Financial Company (NBFC),0.4644772553223576,0.17114165284107818,42.123446025634465,-4.363099288922005,16.52009495511453,-6.841813804182776,0.8196506621703473,2.068925700655308,"0    5.011971
Name: 2022-01-03 00:00:00, dtype: float64",484.4266052246094
DEEPAKFERT.NS,2022_BEAR,47.47612209662028,Steady (30-100%),Commodity Chemicals,1.4570113817812966,0.5588881159492989,40.46254839275497,-3.584218061930871,13.352651269997477,-15.655544623906426,0.985928663825312,1.1200533602829013,"0    3.210431
Name: 2022-01-03 00:00:00, dtype: float64",386.4717102050781
ADANIGREEN.NS,2022_BEAR,43.26230162668273,Steady (30-100%),Power Generation,0.7141859930431148,0.32829901669125194,33.764234574574544,14.893105630973341,16.336708716326022,-6.416534694176655,0.387043879873377,0.4445497238889451,"0    3.40756
Name: 2022-01-03 00:00:00, dtype: float64",1346.9000244140625
BDL.NS,2022_BEAR,76.93894814810842,Steady (30-100%),Aerospace & Defense,0.8584780351798703,0.3544191209358762,37.594750439951994,3.956136891273336,30.0164257597628,-11.855436414614296,0.5773544451483377,0.5559759043499563,"0    2.839261
Name: 2022-01-03 00:00:00, dtype: float64",187.7933807373047
ELECON.NS,2022_BEAR,37.06546153370574,Steady (30-100%),Heavy Electrical Equipment,0.7604649233502063,0.1807552813692387,65.29852237263445,15.101069069287574,35.44452906517302,-9.622641578430603,1.6099155777459397,1.354390562752877,"0    4.870638
Name: 2022-01-03 00:00:00, dtype: float64",94.27920532226562
HSCL.NS,2022_BEAR,31.09890325048214,Steady (30-100%),Carbon Black,0.572947283976682,0.25585022503910726,34.75713927475117,-14.022703493916453,23.666718216792,-23.485308279238296,0.6023332403447179,0.37070440451466696,"0    2.739403
Name: 2022-01-03 00:00:00, dtype: float64",45.20109558105469
HAL.NS,2022_BEAR,46.2446351818305,Steady (30-100%),Aerospace & Defense,1.129505889621748,0.6020048127341414,29.120826644791677,-6.993511596900016,48.724926022699485,-15.799123443690352,0.5505486545688677,0.6139063820822996,"0    2.358758
Name: 2022-01-03 00:00:00, dtype: float64",579.4127807617188
M&M.NS,2022_BEAR,31.73657013514494,Steady (30-100%),Passenger Cars & Utility Vehicles,0.9271241417031851,0.48200672595604066,29.853823023412847,-0.9788205341036909,17.575425009207752,-13.58949622895925,0.4499500438255988,0.3801455765265278,"0    2.166615
Name: 2022-01-03 00:00:00, dtype: float64",800.53662109375
ITC.NS,2022_BEAR,30.943752689618194,Steady (30-100%),Diversified FMCG,1.3619160938452022,0.6608400285290598,31.986680555825792,-7.025916272687603,19.398677935416714,-16.549220582026354,0.46489947405576587,0.5536406343673429,"0    1.978873
Name: 2022-01-03 00:00:00, dtype: float64",177.21713256835938
ADANIPOWER.NS,2022_BEAR,159.4767971418014,Explosive (>100%),Integrated Power Utilities,1.5071391696965424,0.5642712228676063,41.45535295613639,-0.07173461698208143,9.339388413264102,-34.26346388872867,1.200439281292889,0.45537955073533215,"0    2.728812
Name: 2022-01-03 00:00:00, dtype: float64",20.260000228881836
MRPL.NS,2022_BEAR,107.0857091846413,Explosive (>100%),Refineries & Marketing,0.8079361143656874,0.32211789034270155,38.92936660728245,-12.909951602599595,39.70939998236927,-20.95754436947186,0.39810504829408583,0.3908169357296451,"0    2.87347
Name: 2022-01-03 00:00:00, dtype: float64",43.07457733154297
TATAELXSI.NS,2022_BEAR,39.339194884315006,Steady (30-100%),Computers - Software & Consulting,1.0613083778879921,0.4988807523766986,33.018702744956336,0.439288237551281,35.17999773642228,-10.962631357501634,0.8335956246605772,0.33392320369504,"0    2.519297
Name: 2022-01-03 00:00:00, dtype: float64",5697.55078125
CHALET.NS,2022_BEAR,44.30175999387991,Steady (30-100%),Hotels & Resorts,2.224872231579716,0.6173118047037228,55.9391233642489,-8.337871872892833,16.8942473104817,-23.477804919078764,0.22919045458534773,0.6583464524584177,"0    4.428866
Name: 2022-01-03 00:00:00, dtype: float64",217.80870056152344
