Rebalance,Weights,GFactor,CAGR,Sharpe,WinRate,Expectancy,WhipsawRate
5,Base 30/30/40,Off,22.869401627606845,1.0003388443944765,55.223880597014926,6.95733578607151,9.850746268656717
5,Base 30/30/40,Filter,16.99492231077382,0.8006727886543333,55.00000000000001,6.617113849002221,8.571428571428571
5,Base 30/30/40,Boost,17.71497782205809,0.7546562332822973,53.687315634218294,5.467072091548076,8.55457227138643
5,Smooth 20/20/60,Off,22.137414188446925,0.9576473149557903,55.62310030395137,6.037338138080442,9.118541033434651
5,Smooth 20/20/60,Filter,15.580542590117652,0.750738519699081,55.59440559440559,4.9499067435822255,7.6923076923076925
5,Smooth 20/20/60,Boost,15.387615327024594,0.6771351723054079,53.80116959064327,5.343822932693371,9.064327485380117
5,Mid 10/50/40,Off,26.886516684209248,1.0660443642963235,55.654761904761905,7.2546026171883,8.630952380952381
5,Mid 10/50/40,Filter,25.08850873483004,1.1122763969608231,56.56934306569343,7.348634391097447,8.75912408759124
5,Mid 10/50/40,Boost,22.849517786336506,0.9438796723592253,55.78034682080924,6.406329866671518,8.38150289017341
10,Base 30/30/40,Off,22.328959691443174,1.024647703771296,54.82866043613706,6.3631002321819095,7.78816199376947
10,Base 30/30/40,Filter,14.58696310261185,0.6988656454458516,53.25670498084292,6.2058733765307625,6.513409961685824
10,Base 30/30/40,Boost,10.563464032285186,0.5005491952258211,51.910828025477706,3.6803138443118595,9.235668789808917
10,Smooth 20/20/60,Off,21.210245254275794,0.9905849001571858,54.347826086956516,5.733000736030069,7.142857142857142
10,Smooth 20/20/60,Filter,13.072123165946614,0.6351536834593663,51.64835164835166,5.099975670070867,7.326007326007327
10,Smooth 20/20/60,Boost,16.661289528648403,0.795221931049859,53.53846153846153,5.147486570899511,8.615384615384615
10,Mid 10/50/40,Off,18.986738733957708,0.9396396095187083,55.37459283387622,6.110396185596678,7.166123778501629
10,Mid 10/50/40,Filter,11.862323017887011,0.6011642181736045,52.29007633587786,4.810189121568425,6.870229007633588
10,Mid 10/50/40,Boost,11.064150034511332,0.5549460759860154,53.29153605015674,4.314095005379087,8.77742946708464
15,Base 30/30/40,Off,23.352464837091837,1.004951729994701,53.52112676056338,6.986311600463648,7.042253521126761
15,Base 30/30/40,Filter,22.922132671950845,1.0571743115079382,56.95652173913044,8.245748390343483,4.782608695652174
15,Base 30/30/40,Boost,22.985890771459605,1.008124624917828,55.830388692579504,7.098913201159163,6.713780918727916
15,Smooth 20/20/60,Off,18.777718000964327,0.8760697975930808,55.208333333333336,6.708576000048386,7.638888888888889
15,Smooth 20/20/60,Filter,16.697939590014865,0.808707117824027,54.347826086956516,7.024627549850685,6.521739130434782
15,Smooth 20/20/60,Boost,19.307041243434362,0.8777095156057926,55.821917808219176,6.541654664531006,6.506849315068493
15,Mid 10/50/40,Off,28.165166295113075,1.1605184145336933,56.785714285714285,7.976898975334083,7.142857142857142
15,Mid 10/50/40,Filter,26.380946233563506,1.187939687173928,56.837606837606835,9.216056532096818,6.41025641025641
15,Mid 10/50/40,Boost,21.028816235635304,0.9479628007614092,56.785714285714285,6.7059926410212825,6.071428571428571
