ticker,entry_date,exit_date,pnl,days_held,entry_rs,entry_vol,entry_trend,entry_regime,exit_reason,rs_bucket,vol_bucket,hold_bucket
HINDUNILVR,2020-04-29,2021-02-16,0.14188886701730608,293,29.623989992406223,61.16035237915959,100,Strong_Bear,Trail,20-50%,60%+,120-365d
ASHOKLEY,2020-09-24,2021-02-22,81.23144596440189,151,38.67010379633246,53.81226521200544,100,Mild_Bull,Trail,20-50%,45-60%,120-365d
ICICIBANK,2020-11-10,2021-02-26,23.54034477539399,108,19.687930945907695,41.54728237740047,100,Strong_Bull,Trail,10-20%,35-45%,60-120d
BANKBARODA,2021-01-22,2021-02-26,16.428088957054136,35,51.3148132697638,51.86231088634995,100,Strong_Bull,Trail,50%+,45-60%,30-60d
DLF,2021-01-25,2021-03-17,7.853295976331458,51,42.50764317231595,44.570722076006625,100,Strong_Bull,Trail,20-50%,35-45%,30-60d
TATAPOWER,2021-02-22,2021-03-18,11.598229742164996,24,39.56876791021338,44.00163117810937,100,Strong_Bull,Trail,20-50%,35-45%,<30d
BANKBARODA,2021-02-26,2021-03-18,-15.749424231436892,20,54.279380426357385,64.39816019838644,100,Strong_Bull,Stop,50%+,60%+,<30d
NATIONALUM,2021-01-29,2021-03-19,16.49269771263716,49,43.03782903592402,44.839063532171615,100,Mild_Bull,Trail,20-50%,35-45%,30-60d
VEDL,2021-01-22,2021-04-12,28.78281921204299,80,55.23169952772808,46.00048480863628,100,Strong_Bull,Trail,50%+,45-60%,60-120d
HAVELLS,2021-01-28,2021-04-12,-15.912838115464664,74,45.60483096163053,35.08778019898152,100,Strong_Bull,Stop,20-50%,35-45%,60-120d
SBIN,2021-02-16,2021-04-12,-18.267685467294847,55,48.55944711799492,44.51403057365829,100,Strong_Bull,Stop,20-50%,35-45%,30-60d
HINDALCO,2021-02-26,2021-05-14,12.505504256842146,77,38.2900345149893,46.881771179729746,100,Strong_Bull,Trail,20-50%,45-60%,60-120d
JINDALSTEL,2021-04-12,2021-05-14,7.275061565581735,32,32.65706657882207,51.54020597221308,100,Mild_Bull,Trail,20-50%,45-60%,30-60d
TATASTEEL,2021-04-12,2021-05-20,29.769241792975876,38,19.660904304942484,48.73299711740633,100,Mild_Bull,Trail,10-20%,45-60%,30-60d
JSWSTEEL,2020-09-04,2021-05-24,141.34935843383846,262,37.39390833111935,33.11190052306719,100,Strong_Bull,Trail,20-50%,30-35%,120-365d
VEDL,2021-04-12,2021-06-16,23.99155203931595,65,17.364739999728233,36.71388937471414,100,Mild_Bull,Trail,10-20%,35-45%,60-120d
MOTHERSON,2021-03-18,2021-06-17,10.848934179752757,91,30.59761021195115,47.18278021807262,100,Mild_Bull,Trail,20-50%,45-60%,60-120d
NATIONALUM,2021-05-14,2021-08-09,15.977610799953718,87,53.42026939486482,57.97034534731341,100,Mild_Bull,Trail,50%+,45-60%,60-120d
NMDC,2021-05-14,2021-08-20,-18.707942381836162,98,74.98842611009727,48.7996747642609,100,Mild_Bull,Stop,50%+,45-60%,60-120d
JSWSTEEL,2021-05-24,2021-08-20,1.4445114544538307,88,66.80962393493891,46.86187744804789,100,Strong_Bull,Trail,50%+,45-60%,60-120d
TATASTEEL,2021-05-20,2021-08-23,25.700604978167934,95,67.07361576429966,49.83803389751647,100,Strong_Bull,Trail,50%+,45-60%,60-120d
PRESTIGE,2021-08-09,2021-09-09,21.807620556954564,31,20.775548647226785,32.953780251846496,100,Strong_Bull,Trail,20-50%,30-35%,30-60d
