ticker,period,return,sector,beta,corr,volatility,rs_score,adx,dd,vol_trend,price,ma200
CHENNPETRO.NS,2022_BEAR,203.5817957679619,Refineries & Marketing,1.404211107862261,0.6417201806517148,33.962673457426085,-16.289418717737707,46.405057305790194,-29.727887968824728,0.6621120661282266,90.84630584716797,103.10593841552735
ADANIPOWER.NS,2022_BEAR,159.4767971418014,Integrated Power Utilities,1.5071391696965424,0.5642712228676063,41.45535295613639,-0.07173461698208143,9.339388413264102,-34.26346388872867,1.200439281292889,20.260000228881836,20.28290001869202
MRPL.NS,2022_BEAR,107.0857091846413,Refineries & Marketing,0.8079342530405585,0.322117457532295,38.92932922871047,-12.909944942620962,39.709429203609446,-20.95753883648127,0.39810504829408583,43.07457733154297,45.116065673828125
BLS.NS,2022_BEAR,104.27386057874114,Tour Travel Related Services,0.4243077284683204,0.14893392889161428,44.21834239792426,-28.4210588336107,23.9145821520256,-37.85468118444823,0.5250545283356607,46.69577407836914,40.79356689453125
GMDCLTD.NS,2022_BEAR,83.14150034807096,Industrial Minerals,0.9615907256234353,0.40142643731917466,37.179150066862924,-3.813877974075372,25.904769406718952,-6.483009621157771,0.7869437411912631,65.84490966796875,60.94318334579468
BDL.NS,2022_BEAR,76.93894627432697,Aerospace & Defense,0.8584763353577631,0.35441827984880425,37.59476521852163,3.956128474624296,30.016237502954176,-11.855437263702676,0.5773544451483377,187.79336547851562,181.4487124633789
CREDITACC.NS,2022_BEAR,69.62512615097354,Microfinance Institutions,0.4700900156929792,0.12057740130142856,60.51043430343586,-6.935411028090548,52.983165693637936,-25.134401510852793,0.15399228333507775,594.138671875,640.1927784729004
NAVA.NS,2022_BEAR,56.89655209934424,Power Generation,1.0879694947646097,0.5009693277705394,33.70704992189129,-8.419790763453493,12.240105967352564,-11.014941439256058,0.5944846645179448,52.587581634521484,47.99541155815125
DEEPAKFERT.NS,2022_BEAR,47.47612209662028,Commodity Chemicals,1.4570099058337327,0.5588877105022558,40.46253675799878,-3.584218061930871,13.352621908717433,-15.655550241436467,0.985928663825312,386.4717102050781,347.5299730682373
HAL.NS,2022_BEAR,46.24465624976627,Aerospace & Defense,1.1295092208431492,0.6020069519311839,29.120809050578007,-6.993493517612947,48.72501319754152,-15.79913838040671,0.5505486545688677,579.4127807617188,545.596026763916
CHALET.NS,2022_BEAR,44.30175999387991,Hotels & Resorts,2.224872231579716,0.6173118047037228,55.9391233642489,-8.337871872892833,16.8942473104817,-23.477804919078764,0.22919045458534773,217.80870056152344,193.13403747558593
ADANIGREEN.NS,2022_BEAR,43.26230162668273,Power Generation,0.7141859930431148,0.32829901669125194,33.764234574574544,14.893105630973341,16.336708716326022,-6.416534694176655,0.387043879873377,1346.9000244140625,1161.4929998779296
TATAELXSI.NS,2022_BEAR,39.339215395733994,Computers - Software & Consulting,1.0613092690442436,0.49888116634317653,33.018703071398036,0.4392882434482226,35.18006934149495,-10.962638988022066,0.8335956246605772,5697.55029296875,4455.284594726562
ATGL.NS,2022_BEAR,37.22328160686341,LPG/CNG/PNG/LNG Supplier,0.9923557524929496,0.37997237510730153,40.53503295808946,24.057457720551795,23.57180509228408,-10.355987990245843,0.7694272310725062,1741.856689453125,1305.406015625
ELECON.NS,2022_BEAR,37.065450441902456,Heavy Electrical Equipment,0.7604653361955254,0.18075531822454052,65.29854450812984,15.101067701647212,35.44453546614405,-9.622634264786816,1.6099155777459397,94.27921295166016,69.10927580833435
RHIM.NS,2022_BEAR,35.632182557520046,Electrodes & Refractories,0.2924488796168579,0.17683176654779156,25.66875700948571,4.496121252848184,43.13971801217417,-7.062888049665365,0.5259062909947844,363.6268310546875,324.48784339904785
VBL.NS,2022_BEAR,34.78347598787331,Other Beverages,1.1734448907053423,0.44434777961253125,40.98782246424813,-3.649545094840124,18.45053737974444,-12.45335723870026,0.4845750236872216,116.23247528076172,104.76823684692383
TVSMOTOR.NS,2022_BEAR,34.63121721973413,2/3 Wheelers,0.5558084667669997,0.25595503712176737,33.70362700768727,12.63636109407118,26.074840039568908,-16.48970995007174,0.27705197629337497,617.2940063476562,592.0005581665039
CGCL.NS,2022_BEAR,33.9439034024225,Non Banking Financial Company (NBFC),0.4644754685395505,0.17114106836423573,42.12342784070919,-4.363099573011823,16.52006616090063,-6.841819672898891,0.8196506621703473,484.42657470703125,464.0888137817383
GESHIP.NS,2022_BEAR,32.7713410263909,Shipping,0.8523284047633882,0.41030014646197777,32.241887067607585,-16.89201980136517,24.527621482569092,-27.26803964561601,2.0382754479294585,259.5224304199219,289.78311782836914
M&M.NS,2022_BEAR,31.73657013514494,Passenger Cars & Utility Vehicles,0.9271242838827866,0.48200693857904725,29.853814432534303,-0.9788205341036909,17.575455275621234,-13.58949622895925,0.4499500438255988,800.53662109375,778.9821496582031
HSCL.NS,2022_BEAR,31.098922753824205,Carbon Black,0.5729468978700718,0.2558499767682403,34.75714957956744,-14.022710718606628,23.666657943831606,-23.4853196774516,0.6023332403447179,45.20109176635742,48.71460124969482
ITC.NS,2022_BEAR,30.943752689618194,Diversified FMCG,1.3619161081668065,0.660839600309318,31.98670161935071,-7.0259088890608,19.3985631617363,-16.549226578212785,0.46489947405576587,177.21713256835938,174.06983184814453
OIL.NS,2022_BEAR,29.821559756298754,Oil Exploration & Production,1.275315703679167,0.40076959486017616,49.38989516493588,-15.844322481475015,52.675026807074566,-22.204090395695257,2.0772903369823177,108.53658294677734,92.4907126235962
