Period,Sector,Window,Avg_2M%,Win%
10Y,Depositories Clearing Houses and Other Intermediaries,May-Jun,12.38,60.0
10Y,Depositories Clearing Houses and Other Intermediaries,Jun-Jul,12.81,60.0
10Y,Depositories Clearing Houses and Other Intermediaries,Jul-Aug,6.72,40.0
10Y,Depositories Clearing Houses and Other Intermediaries,Aug-Sep,7.77,40.0
10Y,Depositories Clearing Houses and Other Intermediaries,Sep-Oct,6.21,60.0
10Y,Depositories Clearing Houses and Other Intermediaries,Oct-Nov,13.34,60.0
10Y,Depositories Clearing Houses and Other Intermediaries,Nov-Dec,10.88,40.0
10Y,Passenger Cars & Utility Vehicles,Jan-Feb,1.84,27.0
10Y,Passenger Cars & Utility Vehicles,Feb-Mar,-0.45,45.0
10Y,Passenger Cars & Utility Vehicles,Mar-Apr,5.78,64.0
10Y,Passenger Cars & Utility Vehicles,Apr-May,9.58,73.0
10Y,Passenger Cars & Utility Vehicles,May-Jun,9.11,64.0
10Y,Passenger Cars & Utility Vehicles,Jun-Jul,10.56,82.0
10Y,Passenger Cars & Utility Vehicles,Jul-Aug,10.53,64.0
10Y,Passenger Cars & Utility Vehicles,Aug-Sep,6.91,73.0
10Y,Passenger Cars & Utility Vehicles,Sep-Oct,1.8,55.0
10Y,Passenger Cars & Utility Vehicles,Oct-Nov,3.14,45.0
10Y,Passenger Cars & Utility Vehicles,Nov-Dec,6.37,45.0
10Y,IT Enabled Services,Jan-Feb,-0.29,50.0
10Y,IT Enabled Services,Feb-Mar,-5.5,38.0
10Y,IT Enabled Services,Mar-Apr,-2.68,38.0
10Y,IT Enabled Services,Apr-May,4.11,62.0
10Y,IT Enabled Services,May-Jun,6.33,62.0
10Y,IT Enabled Services,Jun-Jul,11.52,75.0
10Y,IT Enabled Services,Jul-Aug,14.41,62.0
10Y,IT Enabled Services,Aug-Sep,12.49,88.0
10Y,IT Enabled Services,Sep-Oct,4.33,50.0
10Y,IT Enabled Services,Oct-Nov,7.06,88.0
10Y,IT Enabled Services,Nov-Dec,11.99,75.0
10Y,Holding Company,Jan-Feb,2.04,36.0
10Y,Holding Company,Feb-Mar,-0.15,36.0
10Y,Holding Company,Mar-Apr,3.0,73.0
10Y,Holding Company,Apr-May,9.53,82.0
10Y,Holding Company,May-Jun,8.02,64.0
10Y,Holding Company,Jun-Jul,12.88,82.0
10Y,Holding Company,Jul-Aug,12.41,82.0
10Y,Holding Company,Aug-Sep,6.7,64.0
10Y,Holding Company,Sep-Oct,4.1,73.0
10Y,Holding Company,Oct-Nov,4.39,64.0
10Y,Holding Company,Nov-Dec,3.77,45.0
10Y,Residential Commercial Projects,Jan-Feb,-0.7,27.0
10Y,Residential Commercial Projects,Feb-Mar,-1.22,36.0
10Y,Residential Commercial Projects,Mar-Apr,5.35,55.0
10Y,Residential Commercial Projects,Apr-May,7.4,82.0
10Y,Residential Commercial Projects,May-Jun,7.3,73.0
10Y,Residential Commercial Projects,Jun-Jul,10.15,64.0
10Y,Residential Commercial Projects,Jul-Aug,7.3,73.0
10Y,Residential Commercial Projects,Aug-Sep,3.9,45.0
10Y,Residential Commercial Projects,Sep-Oct,5.26,64.0
10Y,Residential Commercial Projects,Oct-Nov,7.98,64.0
10Y,Residential Commercial Projects,Nov-Dec,8.59,64.0
10Y,Stockbroking & Allied,Jan-Feb,-8.48,29.0
10Y,Stockbroking & Allied,Feb-Mar,1.92,43.0
10Y,Stockbroking & Allied,Mar-Apr,11.96,71.0
10Y,Stockbroking & Allied,Apr-May,8.22,43.0
10Y,Stockbroking & Allied,May-Jun,7.06,43.0
10Y,Stockbroking & Allied,Jun-Jul,15.34,71.0
10Y,Stockbroking & Allied,Jul-Aug,10.42,57.0
10Y,Stockbroking & Allied,Aug-Sep,2.9,57.0
10Y,Stockbroking & Allied,Sep-Oct,10.04,71.0
10Y,Stockbroking & Allied,Oct-Nov,11.76,71.0
10Y,Stockbroking & Allied,Nov-Dec,4.25,57.0
10Y,Integrated Power Utilities,Jan-Feb,-0.93,45.0
10Y,Integrated Power Utilities,Feb-Mar,2.79,64.0
10Y,Integrated Power Utilities,Mar-Apr,11.57,73.0
10Y,Integrated Power Utilities,Apr-May,7.39,73.0
10Y,Integrated Power Utilities,May-Jun,1.75,55.0
10Y,Integrated Power Utilities,Jun-Jul,7.96,82.0
10Y,Integrated Power Utilities,Jul-Aug,9.87,73.0
10Y,Integrated Power Utilities,Aug-Sep,3.58,82.0
10Y,Integrated Power Utilities,Sep-Oct,4.47,55.0
10Y,Integrated Power Utilities,Oct-Nov,7.51,64.0
10Y,Integrated Power Utilities,Nov-Dec,5.52,55.0
10Y,Fertilizers,Jan-Feb,-2.82,18.0
10Y,Fertilizers,Feb-Mar,-4.18,27.0
10Y,Fertilizers,Mar-Apr,14.15,91.0
10Y,Fertilizers,Apr-May,13.46,82.0
10Y,Fertilizers,May-Jun,7.34,73.0
10Y,Fertilizers,Jun-Jul,6.75,55.0
10Y,Fertilizers,Jul-Aug,2.26,55.0
10Y,Fertilizers,Aug-Sep,-1.18,36.0
10Y,Fertilizers,Sep-Oct,1.59,45.0
10Y,Fertilizers,Oct-Nov,5.24,64.0
10Y,Fertilizers,Nov-Dec,9.58,82.0
10Y,Heavy Electrical Equipment,Jan-Feb,0.64,45.0
10Y,Heavy Electrical Equipment,Feb-Mar,1.18,45.0
10Y,Heavy Electrical Equipment,Mar-Apr,9.63,73.0
10Y,Heavy Electrical Equipment,Apr-May,11.59,73.0
10Y,Heavy Electrical Equipment,May-Jun,7.52,55.0
10Y,Heavy Electrical Equipment,Jun-Jul,5.59,64.0
10Y,Heavy Electrical Equipment,Jul-Aug,2.82,55.0
10Y,Heavy Electrical Equipment,Aug-Sep,2.39,45.0
10Y,Heavy Electrical Equipment,Sep-Oct,3.64,73.0
10Y,Heavy Electrical Equipment,Oct-Nov,5.07,45.0
10Y,Heavy Electrical Equipment,Nov-Dec,7.2,55.0
10Y,Industrial Products,Jan-Feb,-10.02,20.0
10Y,Industrial Products,Feb-Mar,4.52,40.0
10Y,Industrial Products,Mar-Apr,11.56,60.0
10Y,Industrial Products,Apr-May,19.15,60.0
10Y,Industrial Products,May-Jun,23.91,60.0
10Y,Industrial Products,Jun-Jul,13.26,60.0
10Y,Industrial Products,Jul-Aug,6.91,20.0
10Y,Industrial Products,Aug-Sep,2.99,40.0
10Y,Industrial Products,Sep-Oct,0.13,40.0
10Y,Industrial Products,Oct-Nov,2.02,60.0
10Y,Industrial Products,Nov-Dec,3.1,60.0
10Y,Financial Institution,Jan-Feb,-1.84,27.0
10Y,Financial Institution,Feb-Mar,-5.9,27.0
10Y,Financial Institution,Mar-Apr,5.4,64.0
10Y,Financial Institution,Apr-May,5.97,45.0
10Y,Financial Institution,May-Jun,4.95,55.0
10Y,Financial Institution,Jun-Jul,9.24,73.0
10Y,Financial Institution,Jul-Aug,7.29,64.0
10Y,Financial Institution,Aug-Sep,1.54,36.0
10Y,Financial Institution,Sep-Oct,2.4,55.0
10Y,Financial Institution,Oct-Nov,7.58,64.0
10Y,Financial Institution,Nov-Dec,12.0,64.0
10Y,Compressors Pumps & Diesel Engines,Jan-Feb,1.85,45.0
10Y,Compressors Pumps & Diesel Engines,Feb-Mar,3.76,45.0
10Y,Compressors Pumps & Diesel Engines,Mar-Apr,8.74,73.0
10Y,Compressors Pumps & Diesel Engines,Apr-May,12.01,82.0
10Y,Compressors Pumps & Diesel Engines,May-Jun,9.0,73.0
10Y,Compressors Pumps & Diesel Engines,Jun-Jul,7.28,73.0
10Y,Compressors Pumps & Diesel Engines,Jul-Aug,6.01,55.0
10Y,Compressors Pumps & Diesel Engines,Aug-Sep,2.11,45.0
10Y,Compressors Pumps & Diesel Engines,Sep-Oct,0.11,55.0
10Y,Compressors Pumps & Diesel Engines,Oct-Nov,4.53,64.0
10Y,Compressors Pumps & Diesel Engines,Nov-Dec,4.48,36.0
