ticker,entry,exit,pnl,reason,date
TVSMOTOR.NS,540.5797729492188,571.9717407226562,5.807092559563158,Stop/Trail,2021-07-20
ONGC.NS,80.38265991210938,84.35308074951172,4.93939966871414,Stop/Trail,2021-07-20
SBIN.NS,313.63134765625,378.7335510253906,20.757556237807812,Stop/Trail,2021-08-20
NMDC.NS,33.61079788208008,26.645687103271484,-20.72283675991551,Stop/Trail,2021-09-20
CUMMINSIND.NS,784.833740234375,865.415283203125,10.267339289552705,Stop/Trail,2021-10-01
TATAPOWER.NS,93.33011627197266,223.4664306640625,139.43657159159696,Stop/Trail,2021-10-19
HAVELLS.NS,974.2951049804688,1251.1129150390625,28.412111345272844,Stop/Trail,2021-10-21
TRENT.NS,739.7088623046875,1045.9617919921875,41.40181972855069,Stop/Trail,2021-10-22
VEDL.NS,148.48651123046875,167.8148956298828,13.016929443115616,Stop/Trail,2021-10-22
COFORGE.NS,540.5389404296875,958.0784301757812,77.24503426417003,Stop/Trail,2021-10-25
ICICIBANK.NS,540.7545166015625,729.4546508789062,34.89571117468471,Stop/Trail,2021-11-22
BANKBARODA.NS,69.94609832763672,80.53995513916016,15.14574374384747,Stop/Trail,2021-11-22
TATASTEEL.NS,121.07241821289062,102.54100799560547,-15.30605441835646,Stop/Trail,2021-11-22
LTIM.NS,5464.5615234375,6331.904296875,15.872138500362151,Stop/Trail,2021-11-26
PERSISTENT.NS,903.2117309570312,2115.07373046875,134.17252654896828,Stop/Trail,2022-01-17
COFORGE.NS,1018.707275390625,1025.1495361328125,0.6323956741859141,Stop/Trail,2022-01-18
LTIM.NS,6331.904296875,6378.3349609375,0.733281203972319,Stop/Trail,2022-01-19
VEDL.NS,167.8148956298828,168.07301330566406,0.1538109443815588,Stop/Trail,2022-01-24
TATAPOWER.NS,223.4664306640625,214.4694061279297,-4.026119050363343,Stop/Trail,2022-02-14
BANKBARODA.NS,80.53995513916016,94.059326171875,16.785918255548484,Stop/Trail,2022-02-14
NMDC.NS,30.13795280456543,30.08488655090332,-0.17607783118590148,Stop/Trail,2022-02-24
JSWSTEEL.NS,652.3853759765625,544.22802734375,-16.578751243605154,Stop/Trail,2022-02-24
VEDL.NS,168.07301330566406,182.04766845703125,8.314633549142325,Stop/Trail,2022-02-24
ASHOKLEY.NS,61.39639663696289,50.6239013671875,-17.545810275272654,Stop/Trail,2022-03-03
ONGC.NS,117.93555450439453,130.5592498779297,10.703892839258046,Stop/Trail,2022-03-15
HINDALCO.NS,457.15753173828125,527.0260620117188,15.283250394622533,Stop/Trail,2022-04-12
PERSISTENT.NS,2115.07373046875,2127.709716796875,0.5974253353959708,Stop/Trail,2022-04-12
TATAPOWER.NS,213.98309326171875,250.84652709960938,17.227264675907662,Stop/Trail,2022-04-18
