years,total_ret,nifty_ret,alpha,cagr,momentum_trades,reversion_trades,final_val,regime_counts
1,-0.2476322734980262,9.88854333322836,-10.136175606726386,-0.24763227349802186,37,0,997523.6772650197,"{'BULL': 11, 'MILD_BULL': 131, 'SIDEWAYS': 87, 'BEAR': 16}"
3,66.6420222898628,44.58299047303566,22.059031816827137,18.55726603368697,135,0,1666420.2228986279,"{'BULL': 128, 'MILD_BULL': 305, 'SIDEWAYS': 244, 'BEAR': 59}"
5,167.85171109447364,69.33494723944243,98.51676385503121,21.780817478106318,249,0,2678517.1109447363,"{'BULL': 267, 'MILD_BULL': 425, 'SIDEWAYS': 406, 'BEAR': 135}"
10,1428.7883278189224,258.7027484229081,1170.0855793960143,31.35140900701434,467,0,15287883.278189225,"{'BULL': 545, 'MILD_BULL': 929, 'SIDEWAYS': 722, 'BEAR': 264}"
