ticker,entry,exit,pnl,date,sector,entry_trend
RHIM.NS,739.3651733398438,625.7230224609375,-15.370233137377094,2023-02-21,Electrodes & Refractories,75
IRB.NS,28.60088539123535,29.195606231689453,2.0793791252222977,2023-02-23,Civil Construction,75
RBLBANK.NS,163.49049377441406,138.7162322998047,-15.153334547263137,2023-03-17,Private Sector Bank,75
PFC.NS,98.59566497802734,107.77879333496094,9.313927097078874,2023-03-20,Financial Institution,75
VBL.NS,255.0941925048828,304.6044006347656,19.408598699845008,2023-06-23,Other Beverages,80
PERSISTENT.NS,2233.58203125,2296.26318359375,2.8063062590394843,2023-07-26,Computers - Software & Consulting,75
TITAGARH.NS,208.40499877929688,729.6669921875,250.11971711879383,2023-08-29,Railway Wagons,75
ABCAPITAL.NS,143.9499969482422,175.8000030517578,22.125742812601395,2023-09-21,Investment Company,75
PNB.NS,47.602264404296875,70.45222473144531,48.00183481415615,2023-10-09,Public Sector Bank,75
JINDALSTEL.NS,576.4974975585938,637.5482788085938,10.58994731261517,2023-10-23,Iron & Steel,75
IIFL.NS,460.9747314453125,589.4972534179688,27.88060021634905,2023-10-26,Non Banking Financial Company (NBFC),75
LODHA.NS,668.4638671875,722.5955810546875,8.09792668299959,2023-10-26,Residential Commercial Projects,75
NEULANDLAB.NS,3565.322509765625,3710.052001953125,4.059366068317173,2023-10-26,Pharmaceuticals,75
GODFRYPHLP.NS,683.2532958984375,686.854736328125,0.5271018012363657,2023-11-06,Cigarettes & Tobacco Products,75
INDIANB.NS,381.92547607421875,378.4451904296875,-0.9112473146082912,2023-11-30,Public Sector Bank,75
PRAJIND.NS,527.0672607421875,533.5772094726562,1.2351267504837606,2023-12-08,Industrial Products,75
WELSPUNLIV.NS,90.70043182373047,143.87435913085938,58.6258810878304,2023-12-20,Other Textile Products,75
GPIL.NS,370.498046875,153.37252807617188,-58.603687827828885,2024-01-01,Iron & Steel Products,75
GRAVITA.NS,455.37762451171875,1014.1408081054688,122.70325846441995,2024-01-11,Industrial Minerals,75
NYKAA.NS,146.5500030517578,173.10000610351562,18.116685430829374,2024-01-16,E-Retail/ E-Commerce,70
GMRAIRPORT.NS,57.75,75.5,30.735930735930733,2024-01-23,Airport & Airport services,75
CREDITACC.NS,1581.6085205078125,1541.575927734375,-2.5311315824591096,2024-01-24,Microfinance Institutions,75
GRAVITA.NS,1014.1408081054688,852.9129028320312,-15.897980239512272,2024-01-30,Industrial Minerals,75
CRAFTSMAN.NS,4999.37255859375,4238.6640625,-15.21607936152144,2024-02-02,Auto Components & Equipments,75
BANKINDIA.NS,97.88858795166016,126.14654541015625,28.867468670046176,2024-02-06,Public Sector Bank,80
RECLTD.NS,98.56033325195312,412.43353271484375,318.4579324224949,2024-02-12,Financial Institution,75
MAHABANK.NS,38.60093307495117,51.68599319458008,33.89830005979838,2024-02-12,Public Sector Bank,75
CDSL.NS,865.641845703125,884.3650512695312,2.1629275039491844,2024-02-21,Depositories Clearing Houses and Other Intermediaries,75
KPITTECH.NS,1438.613037109375,1528.202392578125,6.227481133409101,2024-03-04,Computers - Software & Consulting,75
FORCEMOT.NS,3336.982177734375,5873.3515625,76.0078792655608,2024-03-06,Passenger Cars & Utility Vehicles,75
MAPMYINDIA.NS,2003.73388671875,1684.842529296875,-15.914855736860407,2024-03-11,Software Products,75
KAYNES.NS,2361.60009765625,2852.35009765625,20.780402257225543,2024-03-12,Industrial Products,75
HSCL.NS,354.8238220214844,300.5232238769531,-15.303537917824295,2024-03-12,Carbon Black,75
