strategy,total_return,nifty_return,alpha,cagr,trades,win_rate
SMART_MONEY_FOOTPRINT,155.35929568088707,268.2971591030382,-112.93786342215114,9.828529078692094,523,63.09751434034416
52W_HIGH_BREAKOUT,145.13772811084687,268.2971591030382,-123.15943099219135,9.38077991341415,605,62.64462809917355
SQUEEZE_PLAY,111.03103689790476,268.2971591030382,-157.26612220513346,7.754305786975335,560,62.857142857142854
CORRELATION_BREAKER,67.34101963605428,268.2971591030382,-200.95613946698393,5.283482321731614,510,58.62745098039216
PHOENIX_RESURRECTION,13.246998447000538,268.2971591030382,-255.05016065603766,1.2517807425317162,67,58.2089552238806
