Regime,Era,Ret_90d,Count,MAE_90d
Mild_Bull,2008_2022,8.818042046030762,3330,-12.950414710457565
Mild_Bull,2022_2026,6.946434211217596,1137,-11.666075018098251
Recovery,2008_2022,11.937022578336054,2635,-12.835033344514764
Recovery,2022_2026,12.084344418251444,421,-6.875359945106734
Strong_Bear,2008_2022,13.171555274042518,2074,-15.617298967721988
Strong_Bear,2022_2026,11.295540931780867,312,-10.283007177704427
Strong_Bull,2008_2022,7.887892573814613,7352,-12.429907490029562
Strong_Bull,2022_2026,8.52057620780992,2081,-10.93757402244593
