Period,Sector,Month,Month_Name,Avg%,Median%,StdDev%,Win%,Best%,Worst%,Alpha%,Consistency%,Score,N_Years
10Y,Compressors Pumps & Diesel Engines,1,Jan,-0.08,1.54,6.8,60.0,9.25,-9.86,0.06,60.0,-0.027,10
10Y,Compressors Pumps & Diesel Engines,2,Feb,1.92,4.29,12.01,60.0,18.45,-17.84,2.94,80.0,0.923,10
10Y,Compressors Pumps & Diesel Engines,3,Mar,1.84,5.06,15.91,80.0,20.01,-37.47,1.07,80.0,1.177,10
10Y,Compressors Pumps & Diesel Engines,4,Apr,6.9,3.59,7.17,90.0,20.1,-1.27,3.74,70.0,4.347,10
10Y,Compressors Pumps & Diesel Engines,5,May,5.11,4.16,9.35,50.0,19.77,-4.66,3.76,60.0,1.532,10
10Y,Compressors Pumps & Diesel Engines,6,Jun,3.89,4.78,5.18,80.0,12.78,-6.55,2.29,70.0,2.18,10
10Y,Compressors Pumps & Diesel Engines,7,Jul,3.39,3.08,5.25,90.0,10.99,-7.24,0.31,70.0,2.137,10
10Y,Compressors Pumps & Diesel Engines,8,Aug,2.62,-0.06,8.94,50.0,20.37,-7.2,1.18,70.0,0.917,10
10Y,Compressors Pumps & Diesel Engines,9,Sep,-0.51,0.51,6.94,50.0,11.0,-16.23,-0.23,80.0,-0.203,10
10Y,Compressors Pumps & Diesel Engines,10,Oct,0.62,2.44,5.17,60.0,8.23,-7.59,-0.29,60.0,0.222,10
10Y,Compressors Pumps & Diesel Engines,11,Nov,3.91,1.99,9.58,70.0,27.27,-5.73,2.0,80.0,2.19,10
10Y,Compressors Pumps & Diesel Engines,12,Dec,0.57,0.49,5.9,60.0,12.35,-8.19,-0.98,70.0,0.238,10
