Strategy,Return,Max DD,Win Rate,Trades,Avg Win,Avg Loss
SIMPLE (2022_BEAR),-16.764896783422305,-23.307761537170474,20.8955223880597,67,16.932721739999945,-7.555821204456409
SMART (2022_BEAR),-12.568145425698269,-19.910586224398106,14.814814814814813,54,16.973437190651048,-5.978424134637811
SIMPLE (2025_CHOP),-1.420672644192264,-15.324302522117822,27.450980392156865,102,17.580335413331387,-5.5840730164170465
SMART (2025_CHOP),-21.295396355607703,-22.2379099153855,20.0,110,16.17507174236445,-5.817571496601836
