start_date,v1_return,v2_return,nifty_return
2021-02-09,0.0,0.0,0.0939686036441624
2021-02-23,0.0,0.0,0.1511613569729125
2021-03-09,0.0,0.0,0.15111532018926363
2021-03-24,0.0,0.0,0.2198852964972649
2021-04-09,0.0,0.0,0.21281642163597303
2021-04-27,0.0,0.0,0.2428094807215035
2021-05-11,0.0,0.0,0.20354861602107638
2021-05-26,0.04816046206368657,0.10748483211630604,0.11273434879825589
2021-06-09,0.06624796927575291,0.10506821600426369,0.11998140231863919
2021-06-23,0.06107113930890675,0.1157216107964441,0.08394237173526438
2021-07-07,0.16630395343418564,0.0995223911663374,0.12173119562293575
2021-07-22,0.14137517041396047,0.10181144556178232,0.11331489777075501
2021-08-05,0.031638123320300554,0.04951775701260861,0.05639905379885854
2021-08-20,0.08785204618631381,0.04840111113246978,0.04596519197744749
2021-09-03,0.05905531356397804,-0.004092581235001905,-0.07562801286133901
2021-09-20,0.1287623126251773,0.04357746726911527,-0.008694077485291976
2021-10-04,0.003057037206191937,-0.04521184790000024,0.006579545856002261
2021-10-19,-0.09436559168174949,-0.06320590641551632,-0.06769193247370207
2021-11-02,-0.015405755278366193,0.009991110698425811,-0.0887195547355855
2021-11-17,-0.08563954429767336,-0.00851863582744158,-0.09408252346190994
2021-12-02,-0.15,-0.15,-0.04781728115991153
2021-12-16,-0.15000000000000002,-0.15000000000000002,-0.11005368364661533
2021-12-30,-0.04836548412102086,-0.04836548412102086,-0.07955147925474051
2022-01-13,-0.020266163347859478,0.007461809744805196,-0.10840849919244706
2022-01-28,0.015458301479100763,0.041740237625429694,0.013922480967196036
2022-02-11,0.005839517122877437,0.005839517122877437,0.03277745003525231
2022-02-25,-0.010045016909581341,0.04874889626980479,0.05309035500927941
2022-03-14,0.050086506061901404,0.034342983707349437,0.05963379009241146
2022-03-29,0.02932167392291103,-0.01481666222378834,-0.029275172666780452
2022-04-12,0.14544273923734857,0.06187336222623642,-0.019657481454543997
2022-04-28,-0.08754424937030687,-0.07042613696837038,0.044485136473712
2022-05-13,0.0,0.0,0.1660895337530866
2022-05-27,0.0,0.0,0.13854808049419678
2022-06-10,0.0,0.0,0.14851437644701293
2022-06-24,0.0,0.0,0.15497879078618404
2022-07-08,0.1260525717653766,0.10097165418130337,0.10440740922247908
2022-07-22,0.1111331921361198,0.07852437645937822,0.08366612704749031
2022-08-05,0.00047394096181688184,0.013159186096970737,0.027256744862767638
2022-08-23,0.06372942827579621,0.056116288208028824,-0.0013198247048783957
2022-09-07,0.07431392716046598,0.05335662205678961,-0.001974579587315304
2022-09-21,-0.015387544366611263,0.011510799113945152,-0.036202537645526604
2022-10-06,-0.15,-0.15,0.02253083825094812
2022-10-20,0.06255751028447133,0.0617994024566323,0.01421379597012791
2022-11-04,0.07034418609214187,0.038136567833371764,0.009927036288668551
2022-11-21,0.054744566287079056,0.0653021914798947,0.008876741335188378
2022-12-05,0.008087123495291915,0.03346576167743291,-0.0035559499184224484
2022-12-19,0.05518636288110409,0.04320294008973231,0.019044094803775103
2023-01-02,0.20206322134554333,0.08728148104942846,0.06233574545883083
2023-01-16,0.23273893413327562,0.08088149601501225,0.10339010558969536
2023-01-31,0.3640388307527445,0.12295515209217572,0.10501833402797583
2023-02-14,0.22843412597738216,0.09881994616999969,0.08163760610879009
2023-02-28,0.2397936510683854,0.09432746512736231,0.12857478569627462
2023-03-15,0.29663591297582415,0.18904637230057358,0.18625514845609323
2023-03-29,0.18001751911920602,0.11804061317933823,0.13789835887042645
2023-04-18,0.13421761102450525,0.10619925407312317,0.11386931448882365
2023-05-03,0.08581342175260276,0.07792955438959757,0.05767877639426375
2023-05-17,0.07222584603155993,0.05894695023197827,0.0852531126679225
2023-05-31,0.0770160884923403,0.05433845369687435,0.11613002553423411
2023-06-14,0.21708502516243366,0.16544179603682505,0.14196865757140384
2023-06-28,0.22982344425084533,0.1677899038460448,0.1419822385153363
2023-07-13,0.23262397558172832,0.18143064085316676,0.1348812455733694
2023-07-27,0.2407881123895609,0.18092661253740408,0.10363983477233808
2023-08-10,0.3071702213181197,0.27690056272787533,0.12115019817476737
2023-08-25,0.0,0.0,0.14102709930667703
2023-09-08,0.20970481854378958,0.20164586475728954,0.1111708393551557
2023-09-25,0.31609792059128533,0.2780505902166044,0.14123575327819787
2023-10-10,0.2676185354961512,0.2652254674329442,0.11711618147159619
2023-10-25,-0.025991663126021365,0.0006318950549600022,0.17538295381225613
2023-11-08,0.0,0.0,0.15545553060791525
2023-11-23,0.34887378555250265,0.2546709175788901,0.1748257949007676
2023-12-08,0.412894984820927,0.27853090632044303,0.12344177476611427
2023-12-22,0.3454943605440518,0.24542810159865583,0.1299544328171541
2024-01-08,0.34219347642563536,0.2318834235397027,0.1440989169339469
2024-01-23,0.48041323635225786,0.21142888289763823,0.17479092381959388
2024-02-07,0.21160131473282973,0.23688402087220078,0.10092109163037778
2024-02-21,0.33098153237661565,0.2702989487204924,0.14041674481805383
2024-03-06,0.19772355933684535,0.1940408641733723,0.12969845257299348
2024-03-21,0.35542352341126926,0.21647340673961302,0.19099178908330863
2024-04-08,0.2387703774389498,0.13689667576090453,0.1013817490964784
2024-04-24,0.07797747980430277,0.11214426230188891,0.07938436772914872
2024-05-09,0.0,0.0,0.09976997466697028
2024-05-24,-0.03623069353589617,-0.012018341137323441,0.05390055415012802
2024-06-07,-0.03937020504159987,0.03815431505431934,0.05667204240794857
2024-06-24,-0.07071515594367325,-0.009157914672101888,0.00806364151355625
2024-07-08,-0.06647907119612141,-0.007378126637349913,-0.02596987083807884
