period,avg_beta,avg_vol,avg_rs,avg_rsi,avg_dd_start,count
2015-08-20 (-1%),,36.14075906502377,1.7353487832470698,43.850639077571095,-22.957010370949092,50
2020-02-26 (-2%),,60.05957968295907,12.7006742138805,43.86088425700818,-28.12318901143663,50
2022-04-29 (0%),,38.09189986889584,4.573301741985832,50.8697934987106,-14.13148043231275,50
2025-01-03 (0%),,34.219396631948214,-2.3190026577743375,46.976189730355514,-19.279854981567382,50
