Strategy,Regime,Days,Total%,Ann%
QVR,BULL,427,-1.23,-0.73
QVR,MILD_BULL,274,-2.35,-2.16
QVR,SIDEWAYS,387,-1.24,-0.81
QVR,BEAR,148,-1.31,-2.23
DNA3-V3.1,BULL,427,130.01,63.49
DNA3-V3.1,MILD_BULL,274,118.92,105.57
DNA3-V3.1,SIDEWAYS,387,116.82,65.52
DNA3-V3.1,BEAR,148,59.56,121.58
