date,ret,Strategy,Window
2017-02-28,28.681119097965603,V2.1-63d,12-Month
2017-03-31,24.245843538920564,V2.1-63d,12-Month
2017-04-28,20.783575441014523,V2.1-63d,12-Month
2017-05-31,13.079141439064346,V2.1-63d,12-Month
2017-06-30,4.622040469676447,V2.1-63d,12-Month
2017-07-31,8.093390962754077,V2.1-63d,12-Month
2017-08-31,9.287272432381277,V2.1-63d,12-Month
2017-09-29,15.326702968226025,V2.1-63d,12-Month
2017-10-31,23.580762096979168,V2.1-63d,12-Month
2017-11-30,43.65654381304831,V2.1-63d,12-Month
2017-12-29,59.111211379554575,V2.1-63d,12-Month
2018-01-31,47.981914375068804,V2.1-63d,12-Month
2018-02-28,53.06123153783484,V2.1-63d,12-Month
2018-03-28,35.61502528433973,V2.1-63d,12-Month
2018-04-30,52.710593350122316,V2.1-63d,12-Month
2018-05-31,65.39687043267818,V2.1-63d,12-Month
2018-06-29,58.34962502187266,V2.1-63d,12-Month
2018-07-31,48.32380645059941,V2.1-63d,12-Month
2018-08-31,54.070168974854326,V2.1-63d,12-Month
2018-09-28,28.12273289945417,V2.1-63d,12-Month
2018-10-31,13.813537891896456,V2.1-63d,12-Month
2018-11-30,10.298411652714634,V2.1-63d,12-Month
2018-12-31,3.638554771243885,V2.1-63d,12-Month
2019-01-31,-2.2397869550242144,V2.1-63d,12-Month
2019-02-28,-1.2794967001043211,V2.1-63d,12-Month
2019-03-28,17.95388141662244,V2.1-63d,12-Month
2019-04-30,5.623400812060475,V2.1-63d,12-Month
2019-05-31,7.0700040498465455,V2.1-63d,12-Month
2019-06-28,9.286929441783865,V2.1-63d,12-Month
2019-07-31,-3.6129325996807626,V2.1-63d,12-Month
2019-08-30,-10.747931497162943,V2.1-63d,12-Month
2019-09-30,12.384872279106096,V2.1-63d,12-Month
2019-10-31,26.83157229984465,V2.1-63d,12-Month
2019-11-29,33.34033398002296,V2.1-63d,12-Month
2019-12-31,34.49843303318654,V2.1-63d,12-Month
2020-01-31,50.17963954053097,V2.1-63d,12-Month
2020-02-28,112.00021563779794,V2.1-63d,12-Month
2020-03-31,68.5007884893422,V2.1-63d,12-Month
2020-04-30,74.49733500919227,V2.1-63d,12-Month
2020-05-29,92.38953346104113,V2.1-63d,12-Month
2020-06-30,198.07495814830793,V2.1-63d,12-Month
2020-07-31,215.4431248060317,V2.1-63d,12-Month
2020-08-31,217.73406237463192,V2.1-63d,12-Month
2020-09-30,182.4362804929472,V2.1-63d,12-Month
2020-10-30,168.05348892601017,V2.1-63d,12-Month
2020-11-27,179.00899265765227,V2.1-63d,12-Month
2020-12-31,183.66750098702482,V2.1-63d,12-Month
2021-01-29,200.6251275963218,V2.1-63d,12-Month
2021-02-26,136.2830641234748,V2.1-63d,12-Month
2021-03-31,161.8264029863766,V2.1-63d,12-Month
2021-04-30,161.2019183242521,V2.1-63d,12-Month
2021-05-31,161.51985140528814,V2.1-63d,12-Month
2021-06-30,86.0771070040591,V2.1-63d,12-Month
2021-07-30,94.82667644491467,V2.1-63d,12-Month
2021-08-31,80.37113960825677,V2.1-63d,12-Month
2021-09-30,99.41359408597555,V2.1-63d,12-Month
2021-10-29,81.5129161662836,V2.1-63d,12-Month
2021-11-30,77.23101513380786,V2.1-63d,12-Month
2021-12-31,84.04381019685567,V2.1-63d,12-Month
2022-01-31,64.53909851558363,V2.1-63d,12-Month
2022-02-28,36.47263335983042,V2.1-63d,12-Month
2022-03-31,50.622095770911436,V2.1-63d,12-Month
2022-04-29,43.78178257847214,V2.1-63d,12-Month
2022-05-31,20.317773026457697,V2.1-63d,12-Month
2022-06-30,5.21984812955667,V2.1-63d,12-Month
2022-07-29,10.702059201682012,V2.1-63d,12-Month
2022-08-30,25.806624342073214,V2.1-63d,12-Month
2022-09-30,10.501127666950772,V2.1-63d,12-Month
2022-10-31,17.23916188143033,V2.1-63d,12-Month
2022-11-30,9.585174360527638,V2.1-63d,12-Month
2022-12-30,-4.430921911316277,V2.1-63d,12-Month
2023-01-31,-8.832207076414743,V2.1-63d,12-Month
2023-02-28,-13.026877173301488,V2.1-63d,12-Month
2023-03-31,-16.13566672084409,V2.1-63d,12-Month
