Period,Sector,Month,Month_Name,Avg%,Median%,StdDev%,Win%,Best%,Worst%,Alpha%,Consistency%,Score,N_Years
15Y,Consumer Electronics,1,Jan,-4.07,-9.04,11.0,33.0,14.31,-14.3,-3.41,78.0,-1.056,9
15Y,Consumer Electronics,2,Feb,4.38,-2.0,15.75,44.0,40.18,-11.36,5.93,89.0,1.731,9
15Y,Consumer Electronics,3,Mar,-1.39,2.08,12.01,62.0,7.41,-29.75,-0.6,88.0,-0.762,8
15Y,Consumer Electronics,4,Apr,7.34,5.17,11.28,75.0,29.87,-5.31,3.75,75.0,4.128,8
15Y,Consumer Electronics,5,May,2.57,-0.76,10.9,50.0,19.42,-7.87,1.81,75.0,0.965,8
15Y,Consumer Electronics,6,Jun,2.77,1.46,12.31,62.0,21.83,-10.29,0.84,50.0,0.866,8
15Y,Consumer Electronics,7,Jul,2.57,3.79,7.22,75.0,9.23,-12.1,-0.02,88.0,1.689,8
15Y,Consumer Electronics,8,Aug,5.87,8.16,8.33,75.0,15.7,-11.18,4.08,75.0,3.3,8
15Y,Consumer Electronics,9,Sep,5.62,5.75,13.42,78.0,31.24,-19.06,5.71,78.0,3.402,9
15Y,Consumer Electronics,10,Oct,0.7,-0.97,7.15,44.0,13.14,-8.87,-0.27,67.0,0.206,9
15Y,Consumer Electronics,11,Nov,6.0,5.57,9.0,67.0,24.85,-3.13,3.35,78.0,3.112,9
15Y,Consumer Electronics,12,Dec,8.5,8.21,10.21,67.0,22.74,-6.98,6.73,56.0,3.149,9
15Y,Aerospace & Defense,1,Jan,1.83,2.7,5.33,75.0,7.1,-7.19,3.17,75.0,1.031,8
15Y,Aerospace & Defense,2,Feb,-4.29,-2.31,11.34,50.0,7.37,-26.48,-3.16,75.0,-1.61,8
15Y,Aerospace & Defense,3,Mar,3.1,4.54,15.49,62.0,30.48,-23.22,3.89,75.0,1.451,8
15Y,Aerospace & Defense,4,Apr,8.66,9.44,9.11,62.0,19.32,-1.21,5.08,38.0,2.031,8
15Y,Aerospace & Defense,5,May,8.82,6.72,12.77,88.0,31.22,-8.33,8.06,62.0,4.821,8
15Y,Aerospace & Defense,6,Jun,8.13,8.06,15.8,62.0,39.0,-9.73,6.2,62.0,3.177,8
15Y,Aerospace & Defense,7,Jul,4.17,7.62,10.35,75.0,14.78,-13.52,1.58,62.0,1.956,8
15Y,Aerospace & Defense,8,Aug,3.07,1.46,9.99,50.0,16.83,-9.62,1.28,75.0,1.149,8
15Y,Aerospace & Defense,9,Sep,-1.36,-0.89,10.22,50.0,14.41,-19.36,-1.43,75.0,-0.51,8
15Y,Aerospace & Defense,10,Oct,1.79,2.83,7.75,62.0,12.36,-10.26,1.39,50.0,0.559,8
15Y,Aerospace & Defense,11,Nov,4.14,2.8,6.71,62.0,14.79,-3.34,1.02,62.0,1.617,8
15Y,Aerospace & Defense,12,Dec,1.05,0.73,7.75,50.0,14.96,-7.36,-0.57,75.0,0.395,8
15Y,Exchange and Data Platform,1,Jan,-0.56,-2.64,4.82,22.0,9.48,-5.77,0.1,67.0,-0.083,9
15Y,Exchange and Data Platform,2,Feb,-4.02,-4.68,5.19,22.0,3.33,-12.1,-2.47,56.0,-0.496,9
15Y,Exchange and Data Platform,3,Mar,2.2,1.02,13.94,50.0,21.55,-24.18,2.99,75.0,0.825,8
15Y,Exchange and Data Platform,4,Apr,8.63,10.39,6.79,88.0,16.64,-2.73,5.05,75.0,5.666,8
15Y,Exchange and Data Platform,5,May,4.0,2.78,10.18,62.0,20.55,-9.78,3.24,75.0,1.876,8
15Y,Exchange and Data Platform,6,Jun,0.88,-0.86,8.12,38.0,11.79,-14.1,-1.05,75.0,0.248,8
15Y,Exchange and Data Platform,7,Jul,5.18,6.02,12.8,75.0,19.65,-18.76,2.59,75.0,2.915,8
15Y,Exchange and Data Platform,8,Aug,3.4,2.08,6.72,62.0,12.59,-4.63,1.62,50.0,1.064,8
15Y,Exchange and Data Platform,9,Sep,4.12,4.58,10.2,62.0,16.54,-10.37,4.05,62.0,1.611,8
15Y,Exchange and Data Platform,10,Oct,6.03,7.31,8.06,67.0,17.48,-6.28,5.05,67.0,2.68,9
15Y,Exchange and Data Platform,11,Nov,4.96,2.58,9.84,67.0,28.11,-5.57,2.31,78.0,2.574,9
15Y,Exchange and Data Platform,12,Dec,2.18,0.57,4.18,67.0,7.95,-3.81,0.41,67.0,0.968,9
15Y,Cables - Electricals,1,Jan,-0.88,-3.84,9.36,43.0,10.0,-14.08,0.61,71.0,-0.268,7
15Y,Cables - Electricals,2,Feb,-1.71,-1.4,12.83,43.0,11.29,-22.86,-0.47,57.0,-0.418,7
15Y,Cables - Electricals,3,Mar,-2.0,4.91,17.4,83.0,7.44,-37.32,-0.34,83.0,-1.389,6
15Y,Cables - Electricals,4,Apr,4.82,4.55,5.99,86.0,11.0,-4.84,1.61,71.0,2.953,7
15Y,Cables - Electricals,5,May,7.31,9.3,10.98,71.0,18.81,-8.9,6.44,71.0,3.73,7
15Y,Cables - Electricals,6,Jun,7.02,4.3,10.7,71.0,25.13,-4.84,4.79,71.0,3.582,7
15Y,Cables - Electricals,7,Jul,2.59,0.46,10.04,57.0,21.28,-11.15,0.49,71.0,1.058,7
15Y,Cables - Electricals,8,Aug,3.82,4.99,6.1,71.0,11.36,-5.75,2.19,57.0,1.56,7
15Y,Cables - Electricals,9,Sep,5.62,4.5,7.76,86.0,14.31,-6.27,4.62,57.0,2.753,7
15Y,Cables - Electricals,10,Oct,0.64,3.27,8.71,57.0,10.73,-10.12,-0.53,43.0,0.156,7
15Y,Cables - Electricals,11,Nov,5.38,2.14,8.2,57.0,14.79,-2.71,2.49,71.0,2.196,7
15Y,Cables - Electricals,12,Dec,2.92,1.94,4.29,71.0,10.67,-1.65,1.05,71.0,1.49,7
15Y,Depositories Clearing Houses and Other Intermediaries,1,Jan,-6.68,-5.29,16.29,25.0,11.72,-27.87,-5.15,50.0,-0.835,4
15Y,Depositories Clearing Houses and Other Intermediaries,2,Feb,-2.77,-1.72,10.24,50.0,8.34,-15.97,-1.33,50.0,-0.692,4
