Period,Nifty,V1 (Orig),V1 (Uncap),V2 (Core),V2 (Hybrid)
3 Months,0.4666770072277773,6.499421516014124,5.860308823829657,3.164656265701307,3.164656265701307
6 Months,4.926202083038719,9.121789037651057,7.196169330894481,7.158901656120293,7.158901656120293
1 Year,9.88854333322836,10.43532375508882,8.086435431617755,13.553567268234236,13.553567268234236
3 Years,43.59276908907175,54.264739288215736,57.6464761208191,62.175779909236915,62.175779909236915
5 Years,70.05221652150156,55.297712067199825,80.09648915933231,76.72574142128386,76.72574142128386
