start_date,end_date,regime,portfolio_return,nifty_return,alpha,hit_target,best_sector
2021-06-09,2021-12-10,Strong_Bull,0.09308508032548123,0.11998140231863919,-0.02689632199315796,False,Consumer
2021-07-07,2022-01-07,Strong_Bull,0.0952858600548323,0.12173119562293575,-0.02644533556810344,False,Consumer
2021-08-05,2022-02-07,Strong_Bull,0.059645526209837506,0.05639905379885854,0.0032464724109789664,False,Consumer
2021-09-03,2022-03-08,Strong_Bull,-0.04890928764331385,-0.07562801286133901,0.02671872521802516,False,Consumer
2021-10-04,2022-04-06,Strong_Bull,0.018603653229706845,0.006579545856002261,0.012024107373704584,False,Consumer
2021-11-02,2022-05-09,Strong_Bull,-0.11196668593327,-0.0887195547355855,-0.023247131197684498,False,Consumer
2021-12-02,2022-06-06,Mild_Bull,-0.08078303415933172,-0.04781728115991153,-0.032965752999420186,False,Pharma
2021-12-30,2022-07-04,Mild_Bull,0.012849040801815561,-0.07955147925474051,0.09240052005655608,False,Auto
2022-01-28,2022-08-01,Mild_Bull,0.019598173115449626,0.013922480967196036,0.0056756921482535895,False,Consumer
2022-02-25,2022-09-01,Mild_Bull,0.016318642516352545,0.05309035500927941,-0.036771712492926864,False,Pharma
2022-03-29,2022-09-29,Strong_Bull,-0.04654367953407394,-0.029275172666780452,-0.01726850686729349,False,Consumer
2022-04-28,2022-10-31,Recovery,-0.04518930334753353,0.044485136473712,-0.08967443982124554,False,IT_Services
2022-07-22,2023-01-24,Recovery,0.22362330700682082,0.08366612704749031,0.1399571799593305,True,IT_Services
2022-08-23,2023-02-22,Recovery,0.0032615639103606847,-0.0013198247048783957,0.004581388615239081,False,IT_Services
2022-09-21,2023-03-23,Strong_Bull,-0.0152527511232329,-0.036202537645526604,0.020949786522293706,False,Consumer
2022-10-20,2023-04-26,Strong_Bull,0.03076163995039738,0.01421379597012791,0.01654784398026947,False,Consumer
2022-11-21,2023-05-25,Strong_Bull,0.022816424376335093,0.008876741335188378,0.013939683041146716,False,Banking
2022-12-19,2023-06-22,Strong_Bull,0.05656719324798598,0.019044094803775103,0.03752309844421088,False,Consumer
2023-01-16,2023-07-21,Mild_Bull,0.2595338483737158,0.10339010558969536,0.15614374278402043,True,Pharma
2023-02-14,2023-08-21,Mild_Bull,0.16801351884041343,0.08163760610879009,0.08637591273162334,False,Banking
2023-03-15,2023-09-18,Mild_Bull,0.27313972078130033,0.18625514845609323,0.0868845723252071,True,Auto
2023-04-18,2023-10-18,Recovery,0.1905382601960926,0.11386931448882365,0.07666894570726895,False,IT_Services
2023-05-17,2023-11-17,Recovery,0.16730582989810655,0.0852531126679225,0.08205271723018405,False,Metals
2023-06-14,2023-12-18,Strong_Bull,0.23762702859642548,0.14196865757140384,0.09565837102502164,True,Consumer
2023-07-13,2024-01-16,Strong_Bull,0.16265950048614325,0.1348812455733694,0.02777825491277386,False,Consumer
2023-08-10,2024-02-15,Strong_Bull,0.23276567666842962,0.12115019817476737,0.11161547849366225,True,Pharma
2023-09-08,2024-03-15,Strong_Bull,0.24518762432680147,0.1111708393551557,0.13401678497164576,True,Pharma
2023-10-10,2024-04-18,Strong_Bull,0.1963265844723192,0.11711618147159619,0.07921040300072302,False,IT_Services
2023-11-08,2024-05-17,Mild_Bull,-0.01673029722899394,0.15545553060791525,-0.1721858278369092,False,Banking
2023-12-08,2024-06-18,Strong_Bull,0.20696243875813053,0.12344177476611427,0.08352066399201626,True,Consumer
2024-01-08,2024-07-16,Strong_Bull,0.1971718598248418,0.1440989169339469,0.0530729428908949,False,Consumer
2024-02-07,2024-08-14,Strong_Bull,0.17868752940365468,0.10092109163037778,0.0777664377732769,False,IT_Services
2024-03-06,2024-09-12,Strong_Bull,0.19956264823665493,0.12969845257299348,0.06986419566366145,False,Pharma
2024-04-08,2024-10-11,Strong_Bull,0.21923254877257414,0.1013817490964784,0.11785079967609574,True,Banking
2024-05-09,2024-11-08,Mild_Bull,0.1934547656633668,0.09976997466697028,0.09368479099639652,False,Banking
2024-06-07,2024-12-10,Strong_Bull,0.08676047338150024,0.05667204240794857,0.03008843097355167,False,Pharma
2024-07-08,2025-01-08,Strong_Bull,0.03938172619678304,-0.02596987083807884,0.06535159703486187,False,Consumer
2024-08-06,2025-02-04,Strong_Bull,-0.032868917702245634,-0.010557476091618933,-0.022311441610626703,False,Pharma
2024-09-04,2025-03-05,Strong_Bull,-0.1604735741716222,-0.11355341847847739,-0.04692015569314481,False,Consumer
2024-10-03,2025-04-04,Strong_Bull,-0.14098451671292717,-0.09289667870276812,-0.04808783801015905,False,Consumer
2024-10-31,2025-05-08,Mild_Bull,-0.06446600436399959,0.002827935682799975,-0.06729394004679956,False,Banking
2024-12-02,2025-06-05,Mild_Bull,0.00391929069852278,0.019560414239278068,-0.015641123540755288,False,Energy
2024-12-31,2025-07-03,Mild_Bull,0.0852598377514987,0.0744561147411338,0.010803723010364905,False,Consumer
2025-03-26,2025-09-29,Recovery,0.0017518433862062643,0.04888057786991341,-0.04712873448370714,False,Consumer
2025-04-29,2025-10-29,Recovery,0.18621532616074424,0.07059314417665609,0.11562218198408815,False,IT_Services
2025-05-28,2025-11-27,Recovery,0.03756388654421938,0.05910936528219193,-0.021545478737972544,False,Pharma
2025-06-25,2025-12-26,Strong_Bull,0.04079454861918804,0.03159273834163539,0.009201810277552652,False,Banking
2025-07-23,2026-01-27,Strong_Bull,0.06931509243917468,-0.0017644796097823605,0.07107957204895704,False,Banking
