Ticker,Sector,RS vs Nifty,Volatility,Price
NATIONALUM,Metals,+40.8%,44.5%,Rs.354.65
VEDL,Metals,+28.4%,38.5%,Rs.671.05
ABB,Industrials,+15.7%,31.8%,Rs.5816.00
NMDC,Metals,+11.2%,31.3%,Rs.84.08
