period,dna_return,dna_cagr,nifty_return,nifty_cagr,alpha,alpha_cagr,trades,win_rate
2016-2017,96.50290885828625,40.506400784219544,35.15973533680333,16.379065089404143,61.34317352148292,24.1273356948154,188,60.1063829787234
2018-2019,-8.6118163567679,-4.414657554971346,16.53147773181856,7.972434843939125,-25.143294088586458,-12.387092398910472,196,46.93877551020408
2020-2021,257.3437873733276,89.03539017160982,42.450652831931045,19.35269281919494,214.89313454139653,69.68269735241488,311,56.91318327974276
2022-2023,142.94160574799025,56.34365682014402,23.293834309321504,11.117962735936459,119.64777143866874,45.22569408420756,222,58.55855855855856
2024-2025,-14.807262709853052,-7.700088141890982,20.180845003971935,9.627024498511272,-34.98810771382499,-17.327112640402255,254,47.63779527559055
